#{"source_data": "2017-08-01", "update_frequency": "Hourly", "source_key": "FTS", "extract_date": "2017-08-01", "source_url": "https://fts.unocha.org"}
cluster,revisedRequirements,totalFunding,plan_id,plan_code,plan_name,countryCode,percentFunded
Logistique,1400000.0,0.0,541,HBDI17,Burundi 2017,BDI,0.0
Coordination,1800000.0,898590.0,541,HBDI17,Burundi 2017,BDI,0.499216666667
Sécurité Alimentaire,19000000.0,22722446.0,541,HBDI17,Burundi 2017,BDI,1.19591821053
Not specified,,4665889.0,541,HBDI17,Burundi 2017,BDI,
Multi-Sector for Refugees,82537901.0,8084999.0,537,HCMR17,Cameroon 2017,CMR,0.0979549867642
WASH,25298814.0,3315214.0,537,HCMR17,Cameroon 2017,CMR,0.131042269412
Coordination,8245593.0,4674182.0,537,HCMR17,Cameroon 2017,CMR,0.566870326973
Health,14640976.0,3423264.0,537,HCMR17,Cameroon 2017,CMR,0.233813920602
Education,16070447.0,3379803.0,537,HCMR17,Cameroon 2017,CMR,0.210311698237
Nutrition,19238142.0,4644505.0,537,HCMR17,Cameroon 2017,CMR,0.241421702782
Protection,20544142.0,3597889.0,537,HCMR17,Cameroon 2017,CMR,0.175129679302
Food Security,90713620.0,37613652.0,537,HCMR17,Cameroon 2017,CMR,0.414641726347
Early Recovery,26754296.0,1246416.0,537,HCMR17,Cameroon 2017,CMR,0.0465875087874
Shelter,5599281.0,1760069.0,537,HCMR17,Cameroon 2017,CMR,0.314338394519
Not specified,,15012531.0,537,HCMR17,Cameroon 2017,CMR,
"Eau, Hygiène et Assainissement",37300000.0,6303667.0,549,HCAF17,Central African Republic 2017,CAF,0.168999115282
Coordination et service de soutien,8000000.0,2420095.0,549,HCAF17,Central African Republic 2017,CAF,0.302511875
Telecom urgences,500000.0,0.0,549,HCAF17,Central African Republic 2017,CAF,0.0
Sécurité alimentaire,174800000.0,41070496.0,549,HCAF17,Central African Republic 2017,CAF,0.234957070938
MSSC,55100000.0,0.0,549,HCAF17,Central African Republic 2017,CAF,0.0
Nutrition,20500000.0,1127820.0,549,HCAF17,Central African Republic 2017,CAF,0.0550156097561
Education,34800000.0,793456.0,549,HCAF17,Central African Republic 2017,CAF,0.0228004597701
Abris / NFI / CCCM,48800000.0,2009411.0,549,HCAF17,Central African Republic 2017,CAF,0.041176454918
Protection,46000000.0,4161206.0,549,HCAF17,Central African Republic 2017,CAF,0.090461
Logistique,22000000.0,7956506.0,549,HCAF17,Central African Republic 2017,CAF,0.361659363636
Santé,40300000.0,7391622.0,549,HCAF17,Central African Republic 2017,CAF,0.183414937965
Réponse non-sectorielle pour les réfugiés,9200000.0,1097680.0,549,HCAF17,Central African Republic 2017,CAF,0.119313043478
Not specified,,44634117.0,549,HCAF17,Central African Republic 2017,CAF,
"Eau, Hygiène et Assainissement",14920648.0,3010359.0,532,HTCD17,Chad 2017,TCD,0.201757926331
Coordination,6273121.0,1448495.0,532,HTCD17,Chad 2017,TCD,0.230904999282
Réponse multisectorielle pour les réfugiés,159995308.0,7970185.0,532,HTCD17,Chad 2017,TCD,0.0498151170783
Nutrition,58031341.0,13709480.0,532,HTCD17,Chad 2017,TCD,0.23624268824
Sécurité Alimentaire,256263959.0,61217274.0,532,HTCD17,Chad 2017,TCD,0.238883666041
Abris/CCM/AME,10537984.0,2109445.0,532,HTCD17,Chad 2017,TCD,0.20017538459
Protection,18386838.0,4292475.0,532,HTCD17,Chad 2017,TCD,0.23345368029
Logistique,15329264.0,2025805.0,532,HTCD17,Chad 2017,TCD,0.132152789593
Santé,30828061.0,5907367.0,532,HTCD17,Chad 2017,TCD,0.191623047586
Education,18041739.0,3614245.0,532,HTCD17,Chad 2017,TCD,0.200326864278
Not specified,,42238624.0,532,HTCD17,Chad 2017,TCD,
HEALTH,36550000.0,2695298.0,592,OPRK17,DPR Korea Needs and Priorities 2017,PRK,0.0737427633379
NUTRITION,39018816.0,3412025.0,592,OPRK17,DPR Korea Needs and Priorities 2017,PRK,0.087445631359
FOOD SECURITY,29713959.0,19023763.0,592,OPRK17,DPR Korea Needs and Priorities 2017,PRK,0.640229832719
"Water, Sanitation & Hygiene (WASH)",8220000.0,1000000.0,592,OPRK17,DPR Korea Needs and Priorities 2017,PRK,0.121654501217
Not specified,,371747.0,592,OPRK17,DPR Korea Needs and Priorities 2017,PRK,
Réponse non sectorielle pour les réfugiés,12256992.0,8386986.0,587,HCOD17,Democratic Republic of the Congo 2017,COD,0.684261358741
Protection,89704303.0,1920407.0,587,HCOD17,Democratic Republic of the Congo 2017,COD,0.0214081926482
Protection,89704303.0,1045782.0,587,HCOD17,Democratic Republic of the Congo 2017,COD,0.0116581029563
Coordination,16700000.0,2712518.0,587,HCOD17,Democratic Republic of the Congo 2017,COD,0.162426227545
Assistance zones a accessibilité réduite,9317817.0,0.0,587,HCOD17,Democratic Republic of the Congo 2017,COD,0.0
Logistique,85464013.0,9896442.0,587,HCOD17,Democratic Republic of the Congo 2017,COD,0.115796598505
Nutrition,82508598.0,53982.0,587,HCOD17,Democratic Republic of the Congo 2017,COD,0.000654259087035
Articles menagers essentiels et abris,82310135.0,3334895.0,587,HCOD17,Democratic Republic of the Congo 2017,COD,0.0405162134651
Interventions monétaires à usages multiples,13200000.0,0.0,587,HCOD17,Democratic Republic of the Congo 2017,COD,0.0
Education,41726371.0,1686708.0,587,HCOD17,Democratic Republic of the Congo 2017,COD,0.0404230696218
"Eau, hygiene et assainissement",92775845.0,1817900.0,587,HCOD17,Democratic Republic of the Congo 2017,COD,0.0195945399366
Securite alimentaire,214395749.0,91323817.0,587,HCOD17,Democratic Republic of the Congo 2017,COD,0.425959084665
Sante,72254474.0,12074505.0,587,HCOD17,Democratic Republic of the Congo 2017,COD,0.16711082832
Not specified,,62401133.0,587,HCOD17,Democratic Republic of the Congo 2017,COD,
Health,2000000.0,0.0,539,HDJI17,Djibouti 2017,DJI,0.0
Education,722100.0,120000.0,539,HDJI17,Djibouti 2017,DJI,0.166181969256
WASH,3029992.0,0.0,539,HDJI17,Djibouti 2017,DJI,0.0
Food Security,9391311.0,2369435.0,539,HDJI17,Djibouti 2017,DJI,0.252300770361
Protection,6102800.0,0.0,539,HDJI17,Djibouti 2017,DJI,0.0
Multi-sector for Refugees,18500000.0,3467286.0,539,HDJI17,Djibouti 2017,DJI,0.187420864865
Nutrition,3231495.0,764751.0,539,HDJI17,Djibouti 2017,DJI,0.236655479894
Not specified,,1.0,539,HDJI17,Djibouti 2017,DJI,
WASH,86450296.0,34756121.0,588,HETH17,Ethiopia 2017,ETH,0.402035881982
Education,45504400.0,3377154.0,588,HETH17,Ethiopia 2017,ETH,0.0742159879045
Health,42800000.0,10291902.0,588,HETH17,Ethiopia 2017,ETH,0.240465
Nutrition,105600000.0,28362059.0,588,HETH17,Ethiopia 2017,ETH,0.268580104167
Agriculture,41900000.0,10541000.0,588,HETH17,Ethiopia 2017,ETH,0.251575178998
Protection,11100000.0,2727575.0,588,HETH17,Ethiopia 2017,ETH,0.245727477477
Emergency Shelter/NFI,17280000.0,0.0,588,HETH17,Ethiopia 2017,ETH,0.0
Food,598000000.0,120773964.0,588,HETH17,Ethiopia 2017,ETH,0.201963150502
Not specified,,57917116.0,588,HETH17,Ethiopia 2017,ETH,
Abris et Biens non Alimentaires,41344876.0,5484164.0,543,HHTI17,Haiti 2017,HTI,0.132644345094
Education,16846984.0,2773117.0,543,HHTI17,Haiti 2017,HTI,0.164606139592
Coordination,2226746.0,503537.0,543,HHTI17,Haiti 2017,HTI,0.226131314483
WASH,14712819.0,2521427.0,543,HHTI17,Haiti 2017,HTI,0.171376199218
Santé,25738380.0,824195.0,543,HHTI17,Haiti 2017,HTI,0.0320220231421
DTM/CCCM,14948234.0,0.0,543,HHTI17,Haiti 2017,HTI,0.0
Protection,13645929.0,802436.0,543,HHTI17,Haiti 2017,HTI,0.0588040579722
Nutrition,6692290.0,33366.0,543,HHTI17,Haiti 2017,HTI,0.00498573731862
Cholera,34710279.0,4805949.0,543,HHTI17,Haiti 2017,HTI,0.138458956207
Logistique,2050000.0,191405.0,543,HHTI17,Haiti 2017,HTI,0.0933682926829
Relèvement Immédiat et Moyens de Subsistance,25660098.0,0.0,543,HHTI17,Haiti 2017,HTI,0.0
Sécurité Alimentaire,92883056.0,33698976.0,543,HHTI17,Haiti 2017,HTI,0.362810801574
Not specified,,5295554.0,543,HHTI17,Haiti 2017,HTI,
Coordination and Common Services,16089139.0,14814256.0,550,HIRQ17,Iraq 2017,IRQ,0.920761266342
RRM,18000000.0,1419012.0,550,HIRQ17,Iraq 2017,IRQ,0.078834
WASH,139208327.0,55757007.0,550,HIRQ17,Iraq 2017,IRQ,0.400529251386
Multi-Purpose Cash Assistance,61398275.0,12092021.0,550,HIRQ17,Iraq 2017,IRQ,0.196943985804
Protection,106752112.0,51064417.0,550,HIRQ17,Iraq 2017,IRQ,0.478345730528
Shelter - NFI,175313707.0,53352887.0,550,HIRQ17,Iraq 2017,IRQ,0.304328097974
Education,69946877.0,23260648.0,550,HIRQ17,Iraq 2017,IRQ,0.332547341606
Logistics,11870344.0,1149989.0,550,HIRQ17,Iraq 2017,IRQ,0.0968791637378
Food Security,235000000.0,113513906.0,550,HIRQ17,Iraq 2017,IRQ,0.483037897872
ETC,2701261.0,1472500.0,550,HIRQ17,Iraq 2017,IRQ,0.545115781111
Emergency Livelihoods - Social Cohesion,20031306.0,1185054.0,550,HIRQ17,Iraq 2017,IRQ,0.0591600967006
Health,109641716.0,61911784.0,550,HIRQ17,Iraq 2017,IRQ,0.564673613828
CCCM,18694000.0,1769300.0,550,HIRQ17,Iraq 2017,IRQ,0.094645340751
Not specified,,62515652.0,550,HIRQ17,Iraq 2017,IRQ,
WASH,21102106.0,7914841.0,589,FKEN17,Kenya Flash Appeal 2017,KEN,0.37507351162
Health,15000000.0,1627619.0,589,FKEN17,Kenya Flash Appeal 2017,KEN,0.108507933333
Education,5921500.0,429646.0,589,FKEN17,Kenya Flash Appeal 2017,KEN,0.0725569534746
Education,5921500.0,1850000.0,589,FKEN17,Kenya Flash Appeal 2017,KEN,0.312420839314
Early Recovery,8110000.0,0.0,589,FKEN17,Kenya Flash Appeal 2017,KEN,0.0
Protection,3100000.0,1240941.0,589,FKEN17,Kenya Flash Appeal 2017,KEN,0.400303548387
Agriculture and Livelihood,30000000.0,1640499.0,589,FKEN17,Kenya Flash Appeal 2017,KEN,0.0546833
Food Security,39300000.0,15854300.0,589,FKEN17,Kenya Flash Appeal 2017,KEN,0.403417302799
Nutrition,43233577.0,12706477.0,589,FKEN17,Kenya Flash Appeal 2017,KEN,0.293902977309
Not specified,,559910.0,589,FKEN17,Kenya Flash Appeal 2017,KEN,
Protection,19781771.0,1887935.0,533,HLBY17,Libya 2017,LBY,0.0954381182554
Multi-Sector,51197688.0,5172562.0,533,HLBY17,Libya 2017,LBY,0.101031163751
Coordination,5040551.0,111769.0,533,HLBY17,Libya 2017,LBY,0.0221739647114
WASH,3969950.0,1936753.0,533,HLBY17,Libya 2017,LBY,0.487853247522
Shelter and Non-Food Items,10446139.0,4372913.0,533,HLBY17,Libya 2017,LBY,0.418615241478
Education,6661248.0,1558754.0,533,HLBY17,Libya 2017,LBY,0.234003297881
Health,29134629.0,5767233.0,533,HLBY17,Libya 2017,LBY,0.197951139175
Food Security,24781500.0,8413163.0,533,HLBY17,Libya 2017,LBY,0.339493694893
Not specified,,13670068.0,533,HLBY17,Libya 2017,LBY,
Emergency Shelter,3430000.0,1763354.0,590,FMDG17,Madagascar Flash Appeal 2017,MDG,0.514097376093
Early Recovery,750000.0,0.0,590,FMDG17,Madagascar Flash Appeal 2017,MDG,0.0
Education,2598200.0,0.0,590,FMDG17,Madagascar Flash Appeal 2017,MDG,0.0
Coordination and Support Services,150000.0,0.0,590,FMDG17,Madagascar Flash Appeal 2017,MDG,0.0
WASH,2435000.0,2348358.0,590,FMDG17,Madagascar Flash Appeal 2017,MDG,0.964418069815
Health,2795000.0,1000041.0,590,FMDG17,Madagascar Flash Appeal 2017,MDG,0.357796422182
Protection,502010.0,0.0,590,FMDG17,Madagascar Flash Appeal 2017,MDG,0.0
Food Security and Livelihoods,6118339.0,1963842.0,590,FMDG17,Madagascar Flash Appeal 2017,MDG,0.320976330341
Logistics and Telecommunication,1289000.0,248517.0,590,FMDG17,Madagascar Flash Appeal 2017,MDG,0.192798293251
Not specified,,205800.0,590,FMDG17,Madagascar Flash Appeal 2017,MDG,
Emergency Shelter and NFI,13142183.0,2097415.0,535,HMLI17,Mali 2017,MLI,0.15959411005
Early Recovery,7021335.0,0.0,535,HMLI17,Mali 2017,MLI,0.0
Nutrition,58403837.0,10587304.0,535,HMLI17,Mali 2017,MLI,0.181277541748
Protection,30810719.0,3083189.0,535,HMLI17,Mali 2017,MLI,0.100068713099
Education,35053948.0,823068.0,535,HMLI17,Mali 2017,MLI,0.0234800371131
Food Security,93456945.0,35177053.0,535,HMLI17,Mali 2017,MLI,0.376398490235
Food Security,93456945.0,1561338.0,535,HMLI17,Mali 2017,MLI,0.0167064951674
Health,11858339.0,3527148.0,535,HMLI17,Mali 2017,MLI,0.297440307618
Coordination and Support Services,14838734.0,5342898.0,535,HMLI17,Mali 2017,MLI,0.360064275025
Water and Sanitation,28512279.0,331895.0,535,HMLI17,Mali 2017,MLI,0.011640423412
Not specified,,11651127.0,535,HMLI17,Mali 2017,MLI,
Coordination,2700000.0,1674394.0,547,HMRT17,Mauritania 2017,MRT,0.620145925926
Multi-secteur,32540000.0,562505.0,547,HMRT17,Mauritania 2017,MRT,0.0172865703749
Nutrition,10160000.0,1049330.0,547,HMRT17,Mauritania 2017,MRT,0.103280511811
Protection,1600000.0,0.0,547,HMRT17,Mauritania 2017,MRT,0.0
Sécurité Alimentaire,15000000.0,14863408.0,547,HMRT17,Mauritania 2017,MRT,0.990893866667
Santé,4000000.0,0.0,547,HMRT17,Mauritania 2017,MRT,0.0
Relèvement précoce,3500000.0,0.0,547,HMRT17,Mauritania 2017,MRT,0.0
EHA,5000000.0,0.0,547,HMRT17,Mauritania 2017,MRT,0.0
Not specified,,7811352.0,547,HMRT17,Mauritania 2017,MRT,
Early Recovery,500000.0,0.0,586,FMOZ17,Mozambique Cyclone Dineo Flash Appeal 2017,MOZ,0.0
Agriculture and Livelihoods,1134000.0,0.0,586,FMOZ17,Mozambique Cyclone Dineo Flash Appeal 2017,MOZ,0.0
Coordination,100000.0,0.0,586,FMOZ17,Mozambique Cyclone Dineo Flash Appeal 2017,MOZ,0.0
Food Assistance,2172400.0,677610.0,586,FMOZ17,Mozambique Cyclone Dineo Flash Appeal 2017,MOZ,0.311917694716
Protection,500000.0,0.0,586,FMOZ17,Mozambique Cyclone Dineo Flash Appeal 2017,MOZ,0.0
Shelter and NFIs,1400000.0,400000.0,586,FMOZ17,Mozambique Cyclone Dineo Flash Appeal 2017,MOZ,0.285714285714
Health,1940000.0,400069.0,586,FMOZ17,Mozambique Cyclone Dineo Flash Appeal 2017,MOZ,0.206221134021
Education,2500000.0,400137.0,586,FMOZ17,Mozambique Cyclone Dineo Flash Appeal 2017,MOZ,0.1600548
Not specified,,1026423.0,586,FMOZ17,Mozambique Cyclone Dineo Flash Appeal 2017,MOZ,
Education,7100000.0,684333.0,545,HMMR17,Myanmar 2017,MMR,0.0963849295775
Food Security,50000000.0,17990961.0,545,HMMR17,Myanmar 2017,MMR,0.35981922
Coordination and Common Services,5100000.0,2805065.0,545,HMMR17,Myanmar 2017,MMR,0.550012745098
WASH,17000000.0,6428241.0,545,HMMR17,Myanmar 2017,MMR,0.378131823529
WASH,17000000.0,689290.0,545,HMMR17,Myanmar 2017,MMR,0.0405464705882
Protection,20200000.0,2992926.0,545,HMMR17,Myanmar 2017,MMR,0.148164653465
Protection,20200000.0,651466.0,545,HMMR17,Myanmar 2017,MMR,0.0322507920792
CCCM/Shelter/NFIs,20300000.0,2093137.0,545,HMMR17,Myanmar 2017,MMR,0.103110197044
Nutrition,14100000.0,7844136.0,545,HMMR17,Myanmar 2017,MMR,0.556321702128
Health,16500000.0,870577.0,545,HMMR17,Myanmar 2017,MMR,0.0527622424242
Not specified,,23087323.0,545,HMMR17,Myanmar 2017,MMR,
Wash,17880000.0,3681387.0,530,HNER17,Niger 2017,NER,0.205894127517
Santé,13128799.0,2776094.0,530,HNER17,Niger 2017,NER,0.211450719902
Coordination and Support Services,3521248.0,618081.0,530,HNER17,Niger 2017,NER,0.175528960187
Nutrition,66850000.0,46518666.0,530,HNER17,Niger 2017,NER,0.695866357517
Securité Alimentaire,112177164.0,67291844.0,530,HNER17,Niger 2017,NER,0.59987114668
S/Cluster Protection de l'Enfant,4149711.0,699987.0,530,HNER17,Niger 2017,NER,0.168683313127
Protection,21780818.0,570174.0,530,HNER17,Niger 2017,NER,0.0261778047087
Abris/NFI,13437826.0,3587976.0,530,HNER17,Niger 2017,NER,0.26700568976
Logistique UNHAS,7839168.0,5022667.0,530,HNER17,Niger 2017,NER,0.640714295191
Education,9321153.0,2995453.0,530,HNER17,Niger 2017,NER,0.321360780152
S/Cluster VBG,1261109.0,1392525.0,530,HNER17,Niger 2017,NER,1.10420669427
Not specified,,36037583.0,530,HNER17,Niger 2017,NER,
Health,93827598.0,11215799.0,536,HNGA17,Nigeria 2017,NGA,0.119536247747
Emergency Shelter and NFI,70332436.0,4789765.0,536,HNGA17,Nigeria 2017,NGA,0.0681017930333
Coordination and Support Services,31193662.0,24859979.0,536,HNGA17,Nigeria 2017,NGA,0.796956093196
Food Security,480260433.0,139385735.0,536,HNGA17,Nigeria 2017,NGA,0.290229478471
Logistics,12238706.0,15037695.0,536,HNGA17,Nigeria 2017,NGA,1.22869974979
Camp Coordination and Camp Management,11560000.0,0.0,536,HNGA17,Nigeria 2017,NGA,0.0
Water and Sanitation,49736246.0,14395506.0,536,HNGA17,Nigeria 2017,NGA,0.289436922923
Early Recovery and Livelihoods,44553589.0,28701.0,536,HNGA17,Nigeria 2017,NGA,0.000644190527502
Education,56339244.0,6653137.0,536,HNGA17,Nigeria 2017,NGA,0.118090633236
Protection,88274151.0,16256790.0,536,HNGA17,Nigeria 2017,NGA,0.184162518878
Emergency Telecommunications,5846761.0,2437415.0,536,HNGA17,Nigeria 2017,NGA,0.416882954511
Nutrition,110268668.0,86744913.0,536,HNGA17,Nigeria 2017,NGA,0.78666872987
Not specified,,135112113.0,536,HNGA17,Nigeria 2017,NGA,
WASH,9840000.0,2529094.0,593,FPER17,Peru Flash Appeal 2017,PER,0.257021747967
Shelters and Camps Coordination and Management,4335000.0,607196.0,593,FPER17,Peru Flash Appeal 2017,PER,0.14006828143
Food Security and Nutrition,4898208.0,872688.0,593,FPER17,Peru Flash Appeal 2017,PER,0.178164749231
Early Recovery and Livelihoods,5170000.0,250016.0,593,FPER17,Peru Flash Appeal 2017,PER,0.0483589941973
Temporary Shelters and Housing,4683000.0,770000.0,593,FPER17,Peru Flash Appeal 2017,PER,0.1644245142
Protection,2132000.0,243776.0,593,FPER17,Peru Flash Appeal 2017,PER,0.114341463415
Health,5620000.0,881445.0,593,FPER17,Peru Flash Appeal 2017,PER,0.156840747331
Education,2614200.0,230416.0,593,FPER17,Peru Flash Appeal 2017,PER,0.0881401576008
Coordination,180000.0,0.0,593,FPER17,Peru Flash Appeal 2017,PER,0.0
Not specified,,593686.0,593,FPER17,Peru Flash Appeal 2017,PER,
Nutrition,1500000.0,0.0,626,HCOG17,Republic of Congo 2017,COG,0.0
Securite Alimentaire,11000000.0,0.0,626,HCOG17,Republic of Congo 2017,COG,0.0
Protection,1000000.0,0.0,626,HCOG17,Republic of Congo 2017,COG,0.0
Coordination et support services,100000.0,0.0,626,HCOG17,Republic of Congo 2017,COG,0.0
Sante,2000000.0,0.0,626,HCOG17,Republic of Congo 2017,COG,0.0
Abris-AME,2500000.0,0.0,626,HCOG17,Republic of Congo 2017,COG,0.0
Education,900000.0,0.0,626,HCOG17,Republic of Congo 2017,COG,0.0
EHA,2200000.0,0.0,626,HCOG17,Republic of Congo 2017,COG,0.0
Relevement Precoce,2500000.0,0.0,626,HCOG17,Republic of Congo 2017,COG,0.0
Not specified,,3733870.0,626,HCOG17,Republic of Congo 2017,COG,
Coordination and Common Services (CCS),20961542.0,21314353.0,538,HSSD17,Republic of South Sudan 2017,SSD,1.01683134762
Education,48548861.0,2857419.0,538,HSSD17,Republic of South Sudan 2017,SSD,0.0588565610221
"Water, Sanitation and Hygiene (WASH)",142173235.0,26804004.0,538,HSSD17,Republic of South Sudan 2017,SSD,0.188530590867
Camp Coordination and Management,17758307.0,5774456.0,538,HSSD17,Republic of South Sudan 2017,SSD,0.325169285563
Food Security and Livelihoods (FSL),689493129.0,391108586.0,538,HSSD17,Republic of South Sudan 2017,SSD,0.567240730255
Logistics (LOGS),94455718.0,87206194.0,538,HSSD17,Republic of South Sudan 2017,SSD,0.9232494956
Non Food Items and Emergency Shelter (NFI&ES),35370907.0,8659655.0,538,HSSD17,Republic of South Sudan 2017,SSD,0.244824228002
Health,122952920.0,17444786.0,538,HSSD17,Republic of South Sudan 2017,SSD,0.141881835747
Other Refugee Response,220446917.0,38993241.0,538,HSSD17,Republic of South Sudan 2017,SSD,0.176882677838
Nutrition,159296108.0,82423668.0,538,HSSD17,Republic of South Sudan 2017,SSD,0.517424242405
Protection,88237249.0,9315061.0,538,HSSD17,Republic of South Sudan 2017,SSD,0.105568352431
Not specified,,200097917.0,538,HSSD17,Republic of South Sudan 2017,SSD,
Préparation aux Urgences,1339553.0,0.0,546,HSEN17,Senegal 2017,SEN,0.0
Sécurité Alimentaire,6793500.0,113522.0,546,HSEN17,Senegal 2017,SEN,0.0167103849268
Nutrition,7675669.0,0.0,546,HSEN17,Senegal 2017,SEN,0.0
Not specified,,1570141.0,546,HSEN17,Senegal 2017,SEN,
Education,33822320.0,9483362.0,528,HSOM17,Somalia 2017,SOM,0.280387684819
Camp Coordination and Camp Management (CCCM),20000000.0,0.0,528,HSOM17,Somalia 2017,SOM,0.0
Protection,122872558.0,15386061.0,528,HSOM17,Somalia 2017,SOM,0.125219668659
Shelter and NFIs,74413237.0,6446007.0,528,HSOM17,Somalia 2017,SOM,0.0866244670958
Nutrition,275872315.0,74620422.0,528,HSOM17,Somalia 2017,SOM,0.270488983282
"Water, Sanitation and Hygiene",111558019.0,31163789.0,528,HSOM17,Somalia 2017,SOM,0.279350505498
Logistics,15350000.0,5411266.0,528,HSOM17,Somalia 2017,SOM,0.352525472313
Enabling Programmes,35543617.0,17183141.0,528,HSOM17,Somalia 2017,SOM,0.483438165564
Health,106798602.0,24682020.0,528,HSOM17,Somalia 2017,SOM,0.231108081359
Food Security,712599579.0,250317294.0,528,HSOM17,Somalia 2017,SOM,0.351273423921
Not specified,,178347596.0,528,HSOM17,Somalia 2017,SOM,
Protection,41646222.0,9575133.0,584,HSDN17,Sudan 2017,SDN,0.229916005346
Emergency Shelter and Non-Food Items,20189088.0,2725235.0,584,HSDN17,Sudan 2017,SDN,0.134985542685
Logistics and Emergency Telecommunications,21084690.0,10362691.0,584,HSDN17,Sudan 2017,SDN,0.491479409942
"Recovery, Returns and Reintegration",19110845.0,1678823.0,584,HSDN17,Sudan 2017,SDN,0.0878466127479
"Water, Sanitation and Hygiene",66951126.0,8974476.0,584,HSDN17,Sudan 2017,SDN,0.134045183945
Health,64229193.0,8961690.0,584,HSDN17,Sudan 2017,SDN,0.139526741368
Education,39769912.0,2951663.0,584,HSDN17,Sudan 2017,SDN,0.0742184946248
Common Services,14342525.0,2267147.0,584,HSDN17,Sudan 2017,SDN,0.158071678453
Refugee Multi-Sector,232890642.0,65157847.0,584,HSDN17,Sudan 2017,SDN,0.279778725502
Food Security and Livelihoods,209188044.0,6520715.0,584,HSDN17,Sudan 2017,SDN,0.0311715472611
Nutrition,74563939.0,12676952.0,584,HSDN17,Sudan 2017,SDN,0.170014515998
Not specified,,24553218.0,584,HSDN17,Sudan 2017,SDN,
Camp coordination and camp management,32592772.0,1948000.0,526,HSYR17,Syria Humanitarian Response Plan 2017,SYR,0.0597678528233
Protection,286375166.0,19602331.0,526,HSYR17,Syria Humanitarian Response Plan 2017,SYR,0.0684498285022
Early Recovery and Livelihoods,161873529.0,12870868.0,526,HSYR17,Syria Humanitarian Response Plan 2017,SYR,0.0795118762129
Health,464928756.0,107471225.0,526,HSYR17,Syria Humanitarian Response Plan 2017,SYR,0.231156330111
Education,249881290.0,92450369.0,526,HSYR17,Syria Humanitarian Response Plan 2017,SYR,0.369977155953
Emergency Telecommunications,870170.0,219350.0,526,HSYR17,Syria Humanitarian Response Plan 2017,SYR,0.252077180321
Shelter/NFI,484629747.0,72057989.0,526,HSYR17,Syria Humanitarian Response Plan 2017,SYR,0.148686681835
Logistics,16498740.0,8254767.0,526,HSYR17,Syria Humanitarian Response Plan 2017,SYR,0.500327115889
Coordination,56668861.0,29107530.0,526,HSYR17,Syria Humanitarian Response Plan 2017,SYR,0.513642404071
WASH,217567066.0,31798340.0,526,HSYR17,Syria Humanitarian Response Plan 2017,SYR,0.146154197805
Nutrition,65483837.0,6282899.0,526,HSYR17,Syria Humanitarian Response Plan 2017,SYR,0.0959457980448
Food security,1312138366.0,521178642.0,526,HSYR17,Syria Humanitarian Response Plan 2017,SYR,0.397197929353
Not specified,,212176451.0,526,HSYR17,Syria Humanitarian Response Plan 2017,SYR,
Logistics,1470000.0,841549.0,531,HUKR17,Ukraine Humanitarian Response Plan 2017,UKR,0.572482312925
