#{"source_data": "2017-09-06", "update_frequency": "Hourly", "source_key": "FTS", "extract_date": "2017-09-06", "source_url": "https://fts.unocha.org"}
organization_id,organization_name,totalFunding,plan_id,plan_code,plan_name,countryCode
2917.0,"United Kingdom, Government of",18072289,544,HAFG17,Afghanistan 2017,AFG
,Not specified,1158313,544,HAFG17,Afghanistan 2017,AFG
3049.0,World Food Programme,12781812,544,HAFG17,Afghanistan 2017,AFG
2921.0,"Sweden, Government of",11749948,544,HAFG17,Afghanistan 2017,AFG
2976.0,"China, Government of",1000000,544,HAFG17,Afghanistan 2017,AFG
4543.0,Private (individuals & organizations),28283,544,HAFG17,Afghanistan 2017,AFG
2966.0,European Commission,5902864,544,HAFG17,Afghanistan 2017,AFG
2932.0,"Czech Republic, Government of",217713,544,HAFG17,Afghanistan 2017,AFG
4762.0,Central Emergency Response Fund,10000000,544,HAFG17,Afghanistan 2017,AFG
3008.0,"Netherlands, Government of",1800000,544,HAFG17,Afghanistan 2017,AFG
5281.0,"Bulgaria, Government of",108578,544,HAFG17,Afghanistan 2017,AFG
3774.0,"Italy, Government of",1137656,544,HAFG17,Afghanistan 2017,AFG
4314.0,"France, Government of",250000,544,HAFG17,Afghanistan 2017,AFG
2929.0,"Korea, Republic of, Government of",2100418,544,HAFG17,Afghanistan 2017,AFG
4537.0,"Japan, Government of",1486000,548,HBFA17,Burkina Faso 2017,BFA
4543.0,Private (individuals & organizations),154446,548,HBFA17,Burkina Faso 2017,BFA
8523.0,European Commission's Humanitarian Aid and Civil Protection Department,16801745,548,HBFA17,Burkina Faso 2017,BFA
2933.0,"United States of America, Government of",4561,548,HBFA17,Burkina Faso 2017,BFA
4306.0,"Germany, Government of",2824720,548,HBFA17,Burkina Faso 2017,BFA
2928.0,"Canada, Government of",371747,548,HBFA17,Burkina Faso 2017,BFA
4306.0,"Germany, Government of",3323582,541,HBDI17,Burundi 2017,BDI
4397.0,United Nations High Commissioner for Refugees,568828,541,HBDI17,Burundi 2017,BDI
3049.0,World Food Programme,1238495,541,HBDI17,Burundi 2017,BDI
4762.0,Central Emergency Response Fund,3500011,541,HBDI17,Burundi 2017,BDI
2928.0,"Canada, Government of",579331,541,HBDI17,Burundi 2017,BDI
2933.0,"United States of America, Government of",15297452,541,HBDI17,Burundi 2017,BDI
1355.0,UN Programme on HIV/AIDS,26750,541,HBDI17,Burundi 2017,BDI
2921.0,"Sweden, Government of",1416730,541,HBDI17,Burundi 2017,BDI
2924.0,"Switzerland, Government of",57204,541,HBDI17,Burundi 2017,BDI
2917.0,"United Kingdom, Government of",1223990,541,HBDI17,Burundi 2017,BDI
4537.0,"Japan, Government of",2102000,541,HBDI17,Burundi 2017,BDI
8523.0,European Commission's Humanitarian Aid and Civil Protection Department,265111,541,HBDI17,Burundi 2017,BDI
4293.0,United Nations Population Fund,193220,541,HBDI17,Burundi 2017,BDI
2966.0,European Commission,159,541,HBDI17,Burundi 2017,BDI
8524.0,European Commission EuropeAid Development and Cooperation,4530340,541,HBDI17,Burundi 2017,BDI
4314.0,"France, Government of",434311,541,HBDI17,Burundi 2017,BDI
,Not specified,67354,541,HBDI17,Burundi 2017,BDI
4314.0,"France, Government of",2365449,537,HCMR17,Cameroon 2017,CMR
2930.0,"Norway, Government of",1669734,537,HCMR17,Cameroon 2017,CMR
4537.0,"Japan, Government of",4651197,537,HCMR17,Cameroon 2017,CMR
8523.0,European Commission's Humanitarian Aid and Civil Protection Department,19612887,537,HCMR17,Cameroon 2017,CMR
2928.0,"Canada, Government of",3822156,537,HCMR17,Cameroon 2017,CMR
2921.0,"Sweden, Government of",3775579,537,HCMR17,Cameroon 2017,CMR
2917.0,"United Kingdom, Government of",4831943,537,HCMR17,Cameroon 2017,CMR
4543.0,Private (individuals & organizations),3285608,537,HCMR17,Cameroon 2017,CMR
4306.0,"Germany, Government of",8115250,537,HCMR17,Cameroon 2017,CMR
,Not specified,693310,537,HCMR17,Cameroon 2017,CMR
3049.0,World Food Programme,2500000,537,HCMR17,Cameroon 2017,CMR
2924.0,"Switzerland, Government of",731708,537,HCMR17,Cameroon 2017,CMR
2933.0,"United States of America, Government of",27196090,537,HCMR17,Cameroon 2017,CMR
2976.0,"China, Government of",1000000,537,HCMR17,Cameroon 2017,CMR
4762.0,Central Emergency Response Fund,10005413,537,HCMR17,Cameroon 2017,CMR
8867.0,Radiohjälpen (Radio Aid Sweden),206897,537,HCMR17,Cameroon 2017,CMR
3009.0,"Ireland, Government of",248511,537,HCMR17,Cameroon 2017,CMR
2927.0,"Belgium, Government of",300000,537,HCMR17,Cameroon 2017,CMR
4845.0,"Iceland, Government of",150000,537,HCMR17,Cameroon 2017,CMR
1355.0,UN Programme on HIV/AIDS,53500,537,HCMR17,Cameroon 2017,CMR
4398.0,World Health Organization,535000,537,HCMR17,Cameroon 2017,CMR
1356.0,Dutch Postcode Lottery,1335069,537,HCMR17,Cameroon 2017,CMR
2929.0,"Korea, Republic of, Government of",2000000,537,HCMR17,Cameroon 2017,CMR
5294.0,United Nations Development Programme,500000,537,HCMR17,Cameroon 2017,CMR
2921.0,"Sweden, Government of",6587260,549,HCAF17,Central African Republic 2017,CAF
3049.0,World Food Programme,22251984,549,HCAF17,Central African Republic 2017,CAF
3009.0,"Ireland, Government of",5569474,549,HCAF17,Central African Republic 2017,CAF
2924.0,"Switzerland, Government of",1833895,549,HCAF17,Central African Republic 2017,CAF
5319.0,"Spain, Government of",853789,549,HCAF17,Central African Republic 2017,CAF
2917.0,"United Kingdom, Government of",12828254,549,HCAF17,Central African Republic 2017,CAF
4543.0,Private (individuals & organizations),180972,549,HCAF17,Central African Republic 2017,CAF
,Not specified,1263709,549,HCAF17,Central African Republic 2017,CAF
4306.0,"Germany, Government of",9424992,549,HCAF17,Central African Republic 2017,CAF
4314.0,"France, Government of",3413224,549,HCAF17,Central African Republic 2017,CAF
4384.0,"Luxembourg, Government of",541221,549,HCAF17,Central African Republic 2017,CAF
2933.0,"United States of America, Government of",24232912,549,HCAF17,Central African Republic 2017,CAF
2928.0,"Canada, Government of",7119506,549,HCAF17,Central African Republic 2017,CAF
8523.0,European Commission's Humanitarian Aid and Civil Protection Department,17384013,549,HCAF17,Central African Republic 2017,CAF
4537.0,"Japan, Government of",7312000,549,HCAF17,Central African Republic 2017,CAF
5295.0,"Finland, Government of",617615,549,HCAF17,Central African Republic 2017,CAF
2930.0,"Norway, Government of",403546,549,HCAF17,Central African Republic 2017,CAF
4762.0,Central Emergency Response Fund,16000028,549,HCAF17,Central African Republic 2017,CAF
2927.0,"Belgium, Government of",3653044,549,HCAF17,Central African Republic 2017,CAF
2966.0,European Commission,2249194,549,HCAF17,Central African Republic 2017,CAF
3776.0,"Denmark, Government of",1141227,549,HCAF17,Central African Republic 2017,CAF
4539.0,UNICEF National Committee/Spain,63551,549,HCAF17,Central African Republic 2017,CAF
2919.0,UNICEF National Committee/Netherlands,526248,549,HCAF17,Central African Republic 2017,CAF
3008.0,"Netherlands, Government of",800427,549,HCAF17,Central African Republic 2017,CAF
2443.0,"Andorra, Government of",15907,549,HCAF17,Central African Republic 2017,CAF
8523.0,European Commission's Humanitarian Aid and Civil Protection Department,61451067,532,HTCD17,Chad 2017,TCD
4306.0,"Germany, Government of",9812060,532,HTCD17,Chad 2017,TCD
2976.0,"China, Government of",4000000,532,HTCD17,Chad 2017,TCD
2928.0,"Canada, Government of",7206618,532,HTCD17,Chad 2017,TCD
4762.0,Central Emergency Response Fund,14561841,532,HTCD17,Chad 2017,TCD
2933.0,"United States of America, Government of",55243559,532,HTCD17,Chad 2017,TCD
2921.0,"Sweden, Government of",3559054,532,HTCD17,Chad 2017,TCD
4539.0,UNICEF National Committee/Spain,213447,532,HTCD17,Chad 2017,TCD
4543.0,Private (individuals & organizations),2156312,532,HTCD17,Chad 2017,TCD
4314.0,"France, Government of",1840281,532,HTCD17,Chad 2017,TCD
5319.0,"Spain, Government of",604731,532,HTCD17,Chad 2017,TCD
4537.0,"Japan, Government of",6366640,532,HTCD17,Chad 2017,TCD
,Not specified,4292879,532,HTCD17,Chad 2017,TCD
3049.0,World Food Programme,160726,532,HTCD17,Chad 2017,TCD
2930.0,"Norway, Government of",1133761,532,HTCD17,Chad 2017,TCD
2924.0,"Switzerland, Government of",2228707,532,HTCD17,Chad 2017,TCD
2652.0,"Malta, Government of",10672,532,HTCD17,Chad 2017,TCD
2927.0,"Belgium, Government of",554938,532,HTCD17,Chad 2017,TCD
3049.0,World Food Programme,963000,592,OPRK17,DPR Korea Needs and Priorities 2017,PRK
4762.0,Central Emergency Response Fund,12347758,592,OPRK17,DPR Korea Needs and Priorities 2017,PRK
,Not specified,7755983,592,OPRK17,DPR Korea Needs and Priorities 2017,PRK
4314.0,"France, Government of",494056,592,OPRK17,DPR Korea Needs and Priorities 2017,PRK
2928.0,"Canada, Government of",1486989,592,OPRK17,DPR Korea Needs and Priorities 2017,PRK
2921.0,"Sweden, Government of",785980,592,OPRK17,DPR Korea Needs and Priorities 2017,PRK
2933.0,"United States of America, Government of",1000000,592,OPRK17,DPR Korea Needs and Priorities 2017,PRK
2924.0,"Switzerland, Government of",5020080,592,OPRK17,DPR Korea Needs and Priorities 2017,PRK
3006.0,"Russian Federation, Government of",3000000,592,OPRK17,DPR Korea Needs and Priorities 2017,PRK
8523.0,European Commission's Humanitarian Aid and Civil Protection Department,24732237,587,HCOD17,Democratic Republic of the Congo 2017,COD
2928.0,"Canada, Government of",13545716,587,HCOD17,Democratic Republic of the Congo 2017,COD
2924.0,"Switzerland, Government of",1427770,587,HCOD17,Democratic Republic of the Congo 2017,COD
4762.0,Central Emergency Response Fund,9611948,587,HCOD17,Democratic Republic of the Congo 2017,COD
3049.0,World Food Programme,7859844,587,HCOD17,Democratic Republic of the Congo 2017,COD
4306.0,"Germany, Government of",9713551,587,HCOD17,Democratic Republic of the Congo 2017,COD
2933.0,"United States of America, Government of",90739605,587,HCOD17,Democratic Republic of the Congo 2017,COD
4537.0,"Japan, Government of",8025000,587,HCOD17,Democratic Republic of the Congo 2017,COD
2921.0,"Sweden, Government of",14733903,587,HCOD17,Democratic Republic of the Congo 2017,COD
4398.0,World Health Organization,2140000,587,HCOD17,Democratic Republic of the Congo 2017,COD
,Not specified,6637247,587,HCOD17,Democratic Republic of the Congo 2017,COD
2930.0,"Norway, Government of",2522082,587,HCOD17,Democratic Republic of the Congo 2017,COD
4384.0,"Luxembourg, Government of",497886,587,HCOD17,Democratic Republic of the Congo 2017,COD
2927.0,"Belgium, Government of",5972076,587,HCOD17,Democratic Republic of the Congo 2017,COD
4399.0,Food & Agriculture Organization of the United Nations,500000,587,HCOD17,Democratic Republic of the Congo 2017,COD
4543.0,Private (individuals & organizations),2325735,587,HCOD17,Democratic Republic of the Congo 2017,COD
3009.0,"Ireland, Government of",4528823,587,HCOD17,Democratic Republic of the Congo 2017,COD
4314.0,"France, Government of",972534,587,HCOD17,Democratic Republic of the Congo 2017,COD
4293.0,United Nations Population Fund,440000,587,HCOD17,Democratic Republic of the Congo 2017,COD
4337.0,UNICEF National Committee/France,325733,587,HCOD17,Democratic Republic of the Congo 2017,COD
8880.0,Fonds Social de la République Démocratique du Congo,4271416,587,HCOD17,Democratic Republic of the Congo 2017,COD
5295.0,"Finland, Government of",341297,587,HCOD17,Democratic Republic of the Congo 2017,COD
2917.0,"United Kingdom, Government of",1875000,587,HCOD17,Democratic Republic of the Congo 2017,COD
5319.0,"Spain, Government of",217155,587,HCOD17,Democratic Republic of the Congo 2017,COD
2933.0,"United States of America, Government of",5650114,539,HDJI17,Djibouti 2017,DJI
2928.0,"Canada, Government of",520446,539,HDJI17,Djibouti 2017,DJI
8523.0,European Commission's Humanitarian Aid and Civil Protection Department,322234,539,HDJI17,Djibouti 2017,DJI
3049.0,World Food Programme,1537675,539,HDJI17,Djibouti 2017,DJI
,Not specified,66546,539,HDJI17,Djibouti 2017,DJI
8342.0,Intergovernmental Authority on Development,28834,539,HDJI17,Djibouti 2017,DJI
4314.0,"France, Government of",266807,539,HDJI17,Djibouti 2017,DJI
4537.0,"Japan, Government of",488720,539,HDJI17,Djibouti 2017,DJI
2998.0,"Saudi Arabia (Kingdom of), Government of",220397,539,HDJI17,Djibouti 2017,DJI
4306.0,"Germany, Government of",35694767,588,HETH17,Ethiopia 2017,ETH
4546.0,"Austria, Government of",1710089,588,HETH17,Ethiopia 2017,ETH
4762.0,Central Emergency Response Fund,28512690,588,HETH17,Ethiopia 2017,ETH
8523.0,European Commission's Humanitarian Aid and Civil Protection Department,50310477,588,HETH17,Ethiopia 2017,ETH
2933.0,"United States of America, Government of",120716874,588,HETH17,Ethiopia 2017,ETH
,Not specified,581866,588,HETH17,Ethiopia 2017,ETH
4543.0,Private (individuals & organizations),1688340,588,HETH17,Ethiopia 2017,ETH
2928.0,"Canada, Government of",7275247,588,HETH17,Ethiopia 2017,ETH
2924.0,"Switzerland, Government of",4070985,588,HETH17,Ethiopia 2017,ETH
2921.0,"Sweden, Government of",11511193,588,HETH17,Ethiopia 2017,ETH
154.0,Procter & Gamble Inc.,299532,588,HETH17,Ethiopia 2017,ETH
3009.0,"Ireland, Government of",1960625,588,HETH17,Ethiopia 2017,ETH
5295.0,"Finland, Government of",800636,588,HETH17,Ethiopia 2017,ETH
4537.0,"Japan, Government of",5768000,588,HETH17,Ethiopia 2017,ETH
1573.0,"Ethiopia, Government of",395662,588,HETH17,Ethiopia 2017,ETH
3776.0,"Denmark, Government of",1547079,588,HETH17,Ethiopia 2017,ETH
3049.0,World Food Programme,6955000,588,HETH17,Ethiopia 2017,ETH
3774.0,"Italy, Government of",2023070,588,HETH17,Ethiopia 2017,ETH
2917.0,"United Kingdom, Government of",12287029,588,HETH17,Ethiopia 2017,ETH
2930.0,"Norway, Government of",800000,588,HETH17,Ethiopia 2017,ETH
4539.0,UNICEF National Committee/Spain,76966,588,HETH17,Ethiopia 2017,ETH
1327.0,Stavros Niarchos Foundation,25000,588,HETH17,Ethiopia 2017,ETH
4384.0,"Luxembourg, Government of",265393,588,HETH17,Ethiopia 2017,ETH
3778.0,UNICEF National Committee/Germany,85379,588,HETH17,Ethiopia 2017,ETH
2929.0,"Korea, Republic of, Government of",500000,588,HETH17,Ethiopia 2017,ETH
2927.0,"Belgium, Government of",652845,588,HETH17,Ethiopia 2017,ETH
2932.0,"Czech Republic, Government of",256102,588,HETH17,Ethiopia 2017,ETH
4321.0,UNICEF National Committee/Sweden,50769,588,HETH17,Ethiopia 2017,ETH
2988.0,Stichting Vluchteling,358608,588,HETH17,Ethiopia 2017,ETH
744.0,OXFAM,500000,588,HETH17,Ethiopia 2017,ETH
5319.0,"Spain, Government of",120000,588,HETH17,Ethiopia 2017,ETH
5369.0,"New Zealand, Government of",270479,588,HETH17,Ethiopia 2017,ETH
1418.0,Qatar Charity,41081,588,HETH17,Ethiopia 2017,ETH
4314.0,"France, Government of",518761,588,HETH17,Ethiopia 2017,ETH
4368.0,JT International Foundation,161324,588,HETH17,Ethiopia 2017,ETH
4335.0,UNICEF National Committee/Denmark,411148,543,HHTI17,Haiti 2017,HTI
2928.0,"Canada, Government of",4255837,543,HHTI17,Haiti 2017,HTI
8461.0,World Vision Australia,346196,543,HHTI17,Haiti 2017,HTI
85.0,"Peru, Government of",10319,543,HHTI17,Haiti 2017,HTI
4543.0,Private (individuals & organizations),284103,543,HHTI17,Haiti 2017,HTI
8523.0,European Commission's Humanitarian Aid and Civil Protection Department,12029763,543,HHTI17,Haiti 2017,HTI
5319.0,"Spain, Government of",261506,543,HHTI17,Haiti 2017,HTI
3778.0,UNICEF National Committee/Germany,493232,543,HHTI17,Haiti 2017,HTI
4539.0,UNICEF National Committee/Spain,2093615,543,HHTI17,Haiti 2017,HTI
2933.0,"United States of America, Government of",21403795,543,HHTI17,Haiti 2017,HTI
,Not specified,619647,543,HHTI17,Haiti 2017,HTI
5300.0,UNICEF National Committee/Czech Republic,10949,543,HHTI17,Haiti 2017,HTI
8575.0,World Vision Taiwan,284562,543,HHTI17,Haiti 2017,HTI
825.0,Friends of UNFPA,719690,543,HHTI17,Haiti 2017,HTI
5315.0,UNICEF National Committee/United Kingdom,31095,543,HHTI17,Haiti 2017,HTI
2917.0,"United Kingdom, Government of",2853088,543,HHTI17,Haiti 2017,HTI
4340.0,UNICEF National Committee/Norway,28676,543,HHTI17,Haiti 2017,HTI
2986.0,International Organization for Migration,689792,543,HHTI17,Haiti 2017,HTI
3049.0,World Food Programme,2503800,543,HHTI17,Haiti 2017,HTI
4058.0,US Fund for UNICEF,190000,543,HHTI17,Haiti 2017,HTI
5295.0,"Finland, Government of",68370,543,HHTI17,Haiti 2017,HTI
4306.0,"Germany, Government of",2385027,543,HHTI17,Haiti 2017,HTI
4835.0,"Argentina, Government of",1244591,543,HHTI17,Haiti 2017,HTI
2921.0,"Sweden, Government of",111769,543,HHTI17,Haiti 2017,HTI
4337.0,UNICEF National Committee/France,106045,543,HHTI17,Haiti 2017,HTI
2924.0,"Switzerland, Government of",2015624,543,HHTI17,Haiti 2017,HTI
3043.0,UNICEF National Committee/Korea (Republic of),51362,543,HHTI17,Haiti 2017,HTI
5352.0,UNICEF National Committee/Canada,33366,543,HHTI17,Haiti 2017,HTI
4537.0,"Japan, Government of",2586585,543,HHTI17,Haiti 2017,HTI
8516.0,ACF - Spain,928221,543,HHTI17,Haiti 2017,HTI
4306.0,"Germany, Government of",91337370,550,HIRQ17,Iraq 2017,IRQ
2921.0,"Sweden, Government of",12513262,550,HIRQ17,Iraq 2017,IRQ
2928.0,"Canada, Government of",39899949,550,HIRQ17,Iraq 2017,IRQ
4537.0,"Japan, Government of",58330775,550,HIRQ17,Iraq 2017,IRQ
87.0,"Qatar, Government of",3900000,550,HIRQ17,Iraq 2017,IRQ
8523.0,European Commission's Humanitarian Aid and Civil Protection Department,62125259,550,HIRQ17,Iraq 2017,IRQ
3774.0,"Italy, Government of",2625345,550,HIRQ17,Iraq 2017,IRQ
5295.0,"Finland, Government of",3144183,550,HIRQ17,Iraq 2017,IRQ
3008.0,"Netherlands, Government of",5336179,550,HIRQ17,Iraq 2017,IRQ
4384.0,"Luxembourg, Government of",583414,550,HIRQ17,Iraq 2017,IRQ
3009.0,"Ireland, Government of",2123142,550,HIRQ17,Iraq 2017,IRQ
4391.0,"Australia, Government of",2976190,550,HIRQ17,Iraq 2017,IRQ
2924.0,"Switzerland, Government of",3369950,550,HIRQ17,Iraq 2017,IRQ
4543.0,Private (individuals & organizations),2533829,550,HIRQ17,Iraq 2017,IRQ
2930.0,"Norway, Government of",3014487,550,HIRQ17,Iraq 2017,IRQ
2933.0,"United States of America, Government of",121671795,550,HIRQ17,Iraq 2017,IRQ
3139.0,OPEC Fund for International Development,400000,550,HIRQ17,Iraq 2017,IRQ
3003.0,"Estonia, Government of",160085,550,HIRQ17,Iraq 2017,IRQ
2927.0,"Belgium, Government of",8121934,550,HIRQ17,Iraq 2017,IRQ
4829.0,"Slovenia, Government of",32017,550,HIRQ17,Iraq 2017,IRQ
2917.0,"United Kingdom, Government of",15319688,550,HIRQ17,Iraq 2017,IRQ
5315.0,UNICEF National Committee/United Kingdom,187087,550,HIRQ17,Iraq 2017,IRQ
93.0,"Slovakia, Government of",54289,550,HIRQ17,Iraq 2017,IRQ
4314.0,"France, Government of",8736741,550,HIRQ17,Iraq 2017,IRQ
5319.0,"Spain, Government of",10672,550,HIRQ17,Iraq 2017,IRQ
2443.0,"Andorra, Government of",8004,550,HIRQ17,Iraq 2017,IRQ
3049.0,World Food Programme,14980000,550,HIRQ17,Iraq 2017,IRQ
4546.0,"Austria, Government of",2347919,550,HIRQ17,Iraq 2017,IRQ
,Not specified,12902,550,HIRQ17,Iraq 2017,IRQ
3272.0,"Lithuania, Government of",42965,550,HIRQ17,Iraq 2017,IRQ
4762.0,Central Emergency Response Fund,10000001,550,HIRQ17,Iraq 2017,IRQ
4331.0,"Liechtenstein, Government of",99305,550,HIRQ17,Iraq 2017,IRQ
4306.0,"Germany, Government of",5685116,589,FKEN17,Kenya Flash Appeal 2017,KEN
8523.0,European Commission's Humanitarian Aid and Civil Protection Department,3758912,589,FKEN17,Kenya Flash Appeal 2017,KEN
2928.0,"Canada, Government of",4202382,589,FKEN17,Kenya Flash Appeal 2017,KEN
2919.0,UNICEF National Committee/Netherlands,745650,589,FKEN17,Kenya Flash Appeal 2017,KEN
3774.0,"Italy, Government of",533618,589,FKEN17,Kenya Flash Appeal 2017,KEN
4537.0,"Japan, Government of",1000000,589,FKEN17,Kenya Flash Appeal 2017,KEN
4391.0,"Australia, Government of",1849364,589,FKEN17,Kenya Flash Appeal 2017,KEN
4762.0,Central Emergency Response Fund,10329268,589,FKEN17,Kenya Flash Appeal 2017,KEN
4335.0,UNICEF National Committee/Denmark,17379,589,FKEN17,Kenya Flash Appeal 2017,KEN
2933.0,"United States of America, Government of",2645900,589,FKEN17,Kenya Flash Appeal 2017,KEN
2966.0,European Commission,2168295,589,FKEN17,Kenya Flash Appeal 2017,KEN
2927.0,"Belgium, Government of",140499,589,FKEN17,Kenya Flash Appeal 2017,KEN
4844.0,"Hungary, Government of",42706,589,FKEN17,Kenya Flash Appeal 2017,KEN
2921.0,"Sweden, Government of",5047609,589,FKEN17,Kenya Flash Appeal 2017,KEN
4314.0,"France, Government of",559910,589,FKEN17,Kenya Flash Appeal 2017,KEN
,Not specified,81003,589,FKEN17,Kenya Flash Appeal 2017,KEN
3776.0,"Denmark, Government of",1212821,589,FKEN17,Kenya Flash Appeal 2017,KEN
3049.0,World Food Programme,1712000,589,FKEN17,Kenya Flash Appeal 2017,KEN
4384.0,"Luxembourg, Government of",559910,589,FKEN17,Kenya Flash Appeal 2017,KEN
2917.0,"United Kingdom, Government of",4981320,589,FKEN17,Kenya Flash Appeal 2017,KEN
4293.0,United Nations Population Fund,129000,589,FKEN17,Kenya Flash Appeal 2017,KEN
4848.0,"Kenya, Government of",6246,589,FKEN17,Kenya Flash Appeal 2017,KEN
4762.0,Central Emergency Response Fund,5997815,533,HLBY17,Libya 2017,LBY
4537.0,"Japan, Government of",1379500,533,HLBY17,Libya 2017,LBY
87.0,"Qatar, Government of",1000000,533,HLBY17,Libya 2017,LBY
2921.0,"Sweden, Government of",1229645,533,HLBY17,Libya 2017,LBY
3049.0,World Food Programme,1285300,533,HLBY17,Libya 2017,LBY
8523.0,European Commission's Humanitarian Aid and Civil Protection Department,5227293,533,HLBY17,Libya 2017,LBY
2933.0,"United States of America, Government of",5875000,533,HLBY17,Libya 2017,LBY
4306.0,"Germany, Government of",6011423,533,HLBY17,Libya 2017,LBY
4546.0,"Austria, Government of",542888,533,HLBY17,Libya 2017,LBY
,Not specified,783575,533,HLBY17,Libya 2017,LBY
2917.0,"United Kingdom, Government of",1893940,533,HLBY17,Libya 2017,LBY
2966.0,European Commission,26671116,533,HLBY17,Libya 2017,LBY
2928.0,"Canada, Government of",1784386,533,HLBY17,Libya 2017,LBY
3774.0,"Italy, Government of",3219908,533,HLBY17,Libya 2017,LBY
3008.0,"Netherlands, Government of",1061027,533,HLBY17,Libya 2017,LBY
4762.0,Central Emergency Response Fund,4999601,590,FMDG17,Madagascar Flash Appeal 2017,MDG
2928.0,"Canada, Government of",222552,590,FMDG17,Madagascar Flash Appeal 2017,MDG
2924.0,"Switzerland, Government of",1073370,590,FMDG17,Madagascar Flash Appeal 2017,MDG
4314.0,"France, Government of",1341276,590,FMDG17,Madagascar Flash Appeal 2017,MDG
4293.0,United Nations Population Fund,205800,590,FMDG17,Madagascar Flash Appeal 2017,MDG
2966.0,European Commission,426896,590,FMDG17,Madagascar Flash Appeal 2017,MDG
