#{"source_key": "UNHCR", "source_url": "http://www.unhcr.org/cgi-bin/texis/vtx/home/opendocAttachment.zip?COMID=58aa8f854", "source_date": 2017-02-01, "extract_date": 2017-04-04}
UN major regions,UNHCR-Bureaux,Country/territory of asylum/residence,Type of population,Population Start 2016,of whom assisted by UNHCR Start 2016,Population Mid 2016,of whom assisted by UNHCR Mid 2016,Notes,Misc
Africa,Central Africa and the Great Lakes,Dem. Rep. of the Congo,Asylum-seekers,  983 ,   983 ,"  1,200 ","   1,200 ",,
Africa,Central Africa and the Great Lakes,Dem. Rep. of the Congo,Returned refugees,   -00 ,   -00 ,   19 ,  19 ,,
Africa,Central Africa and the Great Lakes,Dem. Rep. of the Congo,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations","  1,555,112 ","   955,649 ","   1,722,082 ","   997,252 ",,
Africa,Central Africa and the Great Lakes,Dem. Rep. of the Congo,Returned IDPs,   -00 ,   -00 ,"  43,000 ","  30,703 ",,
Africa,Central Africa and the Great Lakes,Dem. Rep. of the Congo,Persons under UNHCR's statelessness mandate,   -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Central Africa and the Great Lakes,Dem. Rep. of the Congo,Others of concern to UNHCR,"   14,474 ","  14,474 ","  14,474 ","  14,474 ",,
Africa,Central Africa and the Great Lakes,Dem. Rep. of the Congo,Total population of concern,"  1,953,664 ","   1,246,149 ","   2,163,336 ","   1,318,157 ",,
Africa,Central Africa and the Great Lakes,Equatorial Guinea,Total Refugee and people in refugee-like situations,  -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Central Africa and the Great Lakes,Equatorial Guinea,People in refugee-like situations,  -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Central Africa and the Great Lakes,Equatorial Guinea,Asylum-seekers,   -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Central Africa and the Great Lakes,Equatorial Guinea,Returned refugees,  -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Central Africa and the Great Lakes,Equatorial Guinea,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations",  -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Central Africa and the Great Lakes,Equatorial Guinea,Returned IDPs,  -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Central Africa and the Great Lakes,Equatorial Guinea,Persons under UNHCR's statelessness mandate,  -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Central Africa and the Great Lakes,Equatorial Guinea,Others of concern to UNHCR,   -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Central Africa and the Great Lakes,Equatorial Guinea,Total population of concern,  -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Central Africa and the Great Lakes,Gabon,Total Refugee and people in refugee-like situations,  943 ,   943 ,   913 ,   913 ,,
Africa,Central Africa and the Great Lakes,Gabon,People in refugee-like situations,  -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Central Africa and the Great Lakes,Gabon,Asylum-seekers,"  1,941 ","   1,941 ","   1,980 ","   1,980 ",,
Africa,Central Africa and the Great Lakes,Gabon,Returned refugees,  -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Central Africa and the Great Lakes,Gabon,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations",  -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Central Africa and the Great Lakes,Gabon,Returned IDPs,  -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Central Africa and the Great Lakes,Gabon,Persons under UNHCR's statelessness mandate,  -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Central Africa and the Great Lakes,Gabon,Others of concern to UNHCR,   -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Central Africa and the Great Lakes,Gabon,Total population of concern,"   2,884 ","   2,884 ","   2,893 ","   2,893 ",,
Africa,Central Africa and the Great Lakes,Rwanda,Total Refugee and people in refugee-like situations,"  144,737 ","   144,737 ","   150,611 ","   150,611 ",,
Africa,Central Africa and the Great Lakes,Rwanda,People in refugee-like situations,   -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Central Africa and the Great Lakes,Rwanda,Asylum-seekers,  414 ,   414 ,   430 ,   430 ,,
Africa,Central Africa and the Great Lakes,Rwanda,Returned refugees,   -00 ,   -00 ,"  2,943 ","   2,943 ",,
Africa,Central Africa and the Great Lakes,Rwanda,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations",   -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Central Africa and the Great Lakes,Rwanda,Returned IDPs,   -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Central Africa and the Great Lakes,Rwanda,Persons under UNHCR's statelessness mandate,   -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Central Africa and the Great Lakes,Rwanda,Others of concern to UNHCR,  968 ,   968 ,"  1,080 ","   1,080 ",,
Africa,Central Africa and the Great Lakes,Rwanda,Total population of concern,"  146,119 ","   146,119 ","   155,064 ","   155,064 ",,
Africa,Central Africa and the Great Lakes,Sao Tome and Principe,Total Refugee and people in refugee-like situations,  -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Central Africa and the Great Lakes,Sao Tome and Principe,People in refugee-like situations,  -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Central Africa and the Great Lakes,Sao Tome and Principe,Asylum-seekers,   -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Central Africa and the Great Lakes,Sao Tome and Principe,Returned refugees,  -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Central Africa and the Great Lakes,Sao Tome and Principe,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations",  -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Central Africa and the Great Lakes,Sao Tome and Principe,Returned IDPs,  -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Central Africa and the Great Lakes,Sao Tome and Principe,Persons under UNHCR's statelessness mandate,  -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Central Africa and the Great Lakes,Sao Tome and Principe,Others of concern to UNHCR,   -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Central Africa and the Great Lakes,Sao Tome and Principe,Total population of concern,  -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Central Africa and the Great Lakes,United Rep. of Tanzania,Total Refugee and people in refugee-like situations,"   211,845 ","   189,618 ","   230,229 ","   208,002 ",,
Africa,Central Africa and the Great Lakes,United Rep. of Tanzania,People in refugee-like situations,  -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Central Africa and the Great Lakes,United Rep. of Tanzania,Asylum-seekers,"  2,150 ","   2,150 ","   3,223 ","   3,223 ",,
Africa,Central Africa and the Great Lakes,United Rep. of Tanzania,Returned refugees,  -00 ,   -00 ,   6 ,   6 ,,
Africa,Central Africa and the Great Lakes,United Rep. of Tanzania,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations",  -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Central Africa and the Great Lakes,United Rep. of Tanzania,Returned IDPs,  -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Central Africa and the Great Lakes,United Rep. of Tanzania,Persons under UNHCR's statelessness mandate,  -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Central Africa and the Great Lakes,United Rep. of Tanzania,Others of concern to UNHCR,"  168,625 ","   168,625 ","   168,662 ","   168,662 ",,
Africa,Central Africa and the Great Lakes,United Rep. of Tanzania,Total population of concern,"   382,620 ","   360,393 ","   402,120 ","   379,893 ",,
Africa,East and Horn of Africa,Chad,Total Refugee and people in refugee-like situations,"   369,540 ","   369,540 ","   386,050 ","   386,050 ",,
Africa,East and Horn of Africa,Chad,People in refugee-like situations,  -00 ,   -00 ,   -00 ,   -00 ,,
Africa,East and Horn of Africa,Chad,Asylum-seekers,"  2,898 ",  119 ,"  2,263 ","   2,263 ",,
Africa,East and Horn of Africa,Chad,Returned refugees,  -00 ,   -00 ,   1 ,   1 ,,
Africa,East and Horn of Africa,Chad,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations","   51,999 ","  51,999 ","  74,000 ","  74,000 ",,
Africa,East and Horn of Africa,Chad,Returned IDPs,  -00 ,   -00 ,   -00 ,   -00 ,,
Africa,East and Horn of Africa,Chad,Persons under UNHCR's statelessness mandate,  -00 ,   -00 ,   -00 ,   -00 ,,
Africa,East and Horn of Africa,Chad,Others of concern to UNHCR,"  50,000 ","  50,000 ","  50,000 ","  50,000 ",,
Africa,East and Horn of Africa,Chad,Total population of concern,"   474,437 ","   471,658 ","   512,314 ","   512,314 ",,
Africa,East and Horn of Africa,Djibouti,Total Refugee and people in refugee-like situations,"   19,365 ","  19,365 ","  16,696 ","  16,696 ",,
Africa,East and Horn of Africa,Djibouti,People in refugee-like situations,  -00 ,   -00 ,   -00 ,   -00 ,,
Africa,East and Horn of Africa,Djibouti,Asylum-seekers,"  2,641 ","   2,641 ","   3,091 ","   3,081 ",,
Africa,East and Horn of Africa,Djibouti,Returned refugees,  -00 ,   -00 ,   -00 ,   -00 ,,
Africa,East and Horn of Africa,Djibouti,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations",  -00 ,   -00 ,   -00 ,   -00 ,,
Africa,East and Horn of Africa,Djibouti,Returned IDPs,  -00 ,   -00 ,   -00 ,   -00 ,,
Africa,East and Horn of Africa,Djibouti,Persons under UNHCR's statelessness mandate,  -00 ,   -00 ,   -00 ,   -00 ,,
Africa,East and Horn of Africa,Djibouti,Others of concern to UNHCR,   -00 ,   -00 ,   106 ,   -00 ,,
Africa,East and Horn of Africa,Djibouti,Total population of concern,"   22,006 ","  22,006 ","  19,893 ","  19,777 ",,
Africa,East and Horn of Africa,Eritrea,Total Refugee and people in refugee-like situations,"  2,549 ","   2,549 ","   2,293 ","   2,293 ",,
Africa,East and Horn of Africa,Eritrea,People in refugee-like situations,   -00 ,   -00 ,   -00 ,   -00 ,,
Africa,East and Horn of Africa,Eritrea,Asylum-seekers,  1 ,   -00 ,   5 ,   -00 ,,
Africa,East and Horn of Africa,Eritrea,Returned refugees,   -00 ,   -00 ,   -00 ,   -00 ,,
Africa,East and Horn of Africa,Eritrea,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations",   -00 ,   -00 ,   -00 ,   -00 ,,
Africa,East and Horn of Africa,Eritrea,Returned IDPs,   -00 ,   -00 ,   -00 ,   -00 ,,
Africa,East and Horn of Africa,Eritrea,Persons under UNHCR's statelessness mandate,   -00 ,   -00 ,   -00 ,   -00 ,,
Africa,East and Horn of Africa,Eritrea,Others of concern to UNHCR,  6 ,   -00 ,   6 ,   -00 ,,
Africa,East and Horn of Africa,Eritrea,Total population of concern,"  2,556 ","   2,549 ","   2,304 ","   2,293 ",,
Africa,East and Horn of Africa,Ethiopia,Total Refugee and people in refugee-like situations,"   736,086 ","   736,086 ","   742,725 ","   742,725 ",,
Africa,East and Horn of Africa,Ethiopia,People in refugee-like situations,  -00 ,   -00 ,   -00 ,   -00 ,,
Africa,East and Horn of Africa,Ethiopia,Asylum-seekers,"  2,131 ","   2,131 ","   2,290 ","   2,290 ",,
Africa,East and Horn of Africa,Ethiopia,Returned refugees,  -00 ,   -00 ,   2 ,   -00 ,,
Africa,East and Horn of Africa,Ethiopia,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations",  -00 ,   -00 ,   -00 ,   -00 ,,
Africa,East and Horn of Africa,Ethiopia,Returned IDPs,  -00 ,   -00 ,   -00 ,   -00 ,,
Africa,East and Horn of Africa,Ethiopia,Persons under UNHCR's statelessness mandate,  -00 ,   -00 ,   -00 ,   -00 ,,
Africa,East and Horn of Africa,Ethiopia,Others of concern to UNHCR,   934 ,   934 ,   668 ,   668 ,,
Africa,East and Horn of Africa,Ethiopia,Total population of concern,"   739,151 ","   739,151 ","   745,685 ","   745,683 ",,
Africa,East and Horn of Africa,Kenya,Total Refugee and people in refugee-like situations,"  553,912 ","   553,912 ","   523,498 ","   523,498 ",,
Africa,East and Horn of Africa,Kenya,People in refugee-like situations,   -00 ,   -00 ,   -00 ,   -00 ,,
Africa,East and Horn of Africa,Kenya,Asylum-seekers,"   39,969 ","  39,969 ","  38,859 ","  38,859 ",,
Africa,East and Horn of Africa,Kenya,Returned refugees,   -00 ,   -00 ,   -00 ,   -00 ,,
Africa,East and Horn of Africa,Kenya,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations",   -00 ,   -00 ,   -00 ,   -00 ,,
Africa,East and Horn of Africa,Kenya,Returned IDPs,   -00 ,   -00 ,   -00 ,   -00 ,,
Africa,East and Horn of Africa,Kenya,Persons under UNHCR's statelessness mandate,"  20,000 ",   -00 ,"  20,000 ",   -00 ,,
Africa,East and Horn of Africa,Kenya,Others of concern to UNHCR,  -00 ,   -00 ,   -00 ,   -00 ,,
Africa,East and Horn of Africa,Kenya,Total population of concern,"  613,881 ","   593,881 ","   582,357 ","   562,357 ",,
Africa,East and Horn of Africa,Somalia,Total Refugee and people in refugee-like situations,"  8,081 ","   8,081 ","   10,027 ","  10,027 ",,
Africa,East and Horn of Africa,Somalia,People in refugee-like situations,   -00 ,   -00 ,   -00 ,   -00 ,,
Africa,East and Horn of Africa,Somalia,Asylum-seekers,"   10,120 ","  10,120 ","  11,479 ","  11,479 ",,
Africa,East and Horn of Africa,Somalia,Returned refugees,   -00 ,   -00 ,"  13,859 ","  13,857 ",,
Africa,East and Horn of Africa,Somalia,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations","  1,133,000 ","   1,133,000 ","   1,133,000 ","   88,100 ",,
Africa,East and Horn of Africa,Somalia,Returned IDPs,   -00 ,   -00 ,   -00 ,   -00 ,,
Africa,East and Horn of Africa,Somalia,Persons under UNHCR's statelessness mandate,   -00 ,   -00 ,   -00 ,   -00 ,,
Africa,East and Horn of Africa,Somalia,Others of concern to UNHCR,  86 ,  -00 ,   71 ,  71 ,,
Africa,East and Horn of Africa,Somalia,Total population of concern,"  1,151,287 ","   1,151,201 ","   1,168,436 ","   123,534 ",,
Africa,East and Horn of Africa,South Sudan,Total Refugee and people in refugee-like situations,"  263,016 ","   263,016 ","   263,752 ","   263,752 ",,
Africa,East and Horn of Africa,South Sudan,People in refugee-like situations,   -00 ,   -00 ,   -00 ,   -00 ,,
Africa,East and Horn of Africa,South Sudan,Asylum-seekers,  839 ,   839 ,"  1,230 ","   1,230 ",,
Africa,East and Horn of Africa,South Sudan,Returned refugees,   -00 ,   -00 ,   18 ,  1 ,,
Africa,East and Horn of Africa,South Sudan,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations","  1,790,427 ","   356,165 ","   905,000 ","   266,248 ",x,
Africa,East and Horn of Africa,South Sudan,Returned IDPs,   -00 ,   -00 ,"  1,061,226 ","   190,150 ",,
Africa,East and Horn of Africa,South Sudan,Persons under UNHCR's statelessness mandate,   -00 ,   -00 ,   -00 ,   -00 ,,
Africa,East and Horn of Africa,South Sudan,Others of concern to UNHCR,  -00 ,   -00 ,   -00 ,   -00 ,,
Africa,East and Horn of Africa,South Sudan,Total population of concern,"  2,054,282 ","   620,020 ","   2,231,226 ","   721,381 ",,
Africa,East and Horn of Africa,Sudan,Total Refugee and people in refugee-like situations,"  309,639 ","   309,639 ","   351,450 ","   351,450 ",,
Africa,East and Horn of Africa,Sudan,People in refugee-like situations,   -00 ,   -00 ,   -00 ,   -00 ,,
Africa,East and Horn of Africa,Sudan,Asylum-seekers,"   12,581 ","  12,581 ","  13,982 ","  13,982 ",,
Africa,East and Horn of Africa,Sudan,Returned refugees,   -00 ,   -00 ,"  32,526 ",   8 ,,
Africa,East and Horn of Africa,Sudan,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations","  3,218,234 ","   533,117 ","   3,218,234 ","   533,117 ",,
Africa,East and Horn of Africa,Sudan,Returned IDPs,   -00 ,   -00 ,   -00 ,   -00 ,,
Africa,East and Horn of Africa,Sudan,Persons under UNHCR's statelessness mandate,   -00 ,   -00 ,   -00 ,   -00 ,,
Africa,East and Horn of Africa,Sudan,Others of concern to UNHCR,"   3,355 ","   3,355 ","   3,383 ","   3,383 ",,
Africa,East and Horn of Africa,Sudan,Total population of concern,"  3,543,809 ","   858,692 ","   3,619,575 ","   901,940 ",,
Africa,East and Horn of Africa,Uganda,Total Refugee and people in refugee-like situations,"   477,187 ","   477,187 ","   512,623 ","   512,623 ",,
Africa,East and Horn of Africa,Uganda,People in refugee-like situations,  -00 ,   -00 ,   -00 ,   -00 ,,
Africa,East and Horn of Africa,Uganda,Asylum-seekers,"  35,779 ","  35,779 ","  34,440 ","  34,440 ",,
Africa,East and Horn of Africa,Uganda,Returned refugees,  -00 ,   -00 ,   -00 ,   -00 ,,
Africa,East and Horn of Africa,Uganda,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations",  -00 ,   -00 ,   -00 ,   -00 ,,
Africa,East and Horn of Africa,Uganda,Returned IDPs,  -00 ,   -00 ,   -00 ,   -00 ,,
Africa,East and Horn of Africa,Uganda,Persons under UNHCR's statelessness mandate,  -00 ,   -00 ,   -00 ,   -00 ,,
Africa,East and Horn of Africa,Uganda,Others of concern to UNHCR,"  180,000 ","   180,000 ","   180,000 ","   180,000 ",,
Africa,East and Horn of Africa,Uganda,Total population of concern,"   692,966 ","   692,966 ","   727,063 ","   727,063 ",,
Africa,Middle East and North Africa,Algeria,Total Refugee and people in refugee-like situations,"   94,182 ","  90,177 ","  94,219 ","  90,214 ",a,
Africa,Middle East and North Africa,Algeria,People in refugee-like situations,  -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Middle East and North Africa,Algeria,Asylum-seekers,"  6,593 ","   6,593 ","   5,608 ","   5,608 ",,
Africa,Middle East and North Africa,Algeria,Returned refugees,  -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Middle East and North Africa,Algeria,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations",  -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Middle East and North Africa,Algeria,Returned IDPs,  -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Middle East and North Africa,Algeria,Persons under UNHCR's statelessness mandate,  -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Middle East and North Africa,Algeria,Others of concern to UNHCR,   -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Middle East and North Africa,Algeria,Total population of concern,"   100,775 ","   96,770 ","  99,827 ","  95,822 ",,
Africa,Middle East and North Africa,Egypt,Total Refugee and people in refugee-like situations,"   212,500 ","   142,500 ","   210,865 ","   140,865 ",,
Africa,Middle East and North Africa,Egypt,People in refugee-like situations,  -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Middle East and North Africa,Egypt,Asylum-seekers,"  37,961 ","  37,961 ","  45,643 ","  45,643 ",,
Africa,Middle East and North Africa,Egypt,Returned refugees,  -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Middle East and North Africa,Egypt,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations",  -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Middle East and North Africa,Egypt,Returned IDPs,  -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Middle East and North Africa,Egypt,Persons under UNHCR's statelessness mandate,  22 ,  22 ,  13 ,  13 ,,
Africa,Middle East and North Africa,Egypt,Others of concern to UNHCR,   -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Middle East and North Africa,Egypt,Total population of concern,"   250,483 ","   180,483 ","   256,521 ","   186,521 ",,
Africa,Middle East and North Africa,Libya,Total Refugee and people in refugee-like situations,"   9,305 ","   9,305 ","   9,300 ","   9,300 ",,
Africa,Middle East and North Africa,Libya,People in refugee-like situations,  -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Middle East and North Africa,Libya,Asylum-seekers,"  27,479 ","  27,479 ","  28,302 ","  28,302 ",,
Africa,Middle East and North Africa,Libya,Returned refugees,  -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Middle East and North Africa,Libya,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations","   434,869 ","   434,869 ","   285,709 ","   285,709 ",,
Africa,Middle East and North Africa,Libya,Returned IDPs,  -00 ,   -00 ,"  149,160 ","   3,850 ",,
Africa,Middle East and North Africa,Libya,Persons under UNHCR's statelessness mandate,  -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Middle East and North Africa,Libya,Others of concern to UNHCR,   -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Middle East and North Africa,Libya,Total population of concern,"   471,653 ","   471,653 ","   472,471 ","   327,161 ",,
Africa,Middle East and North Africa,Mauritania,Total Refugee and people in refugee-like situations,"  77,394 ","  51,394 ","  68,590 ","  42,590 ",,
Africa,Middle East and North Africa,Mauritania,People in refugee-like situations,"  26,000 ",   -00 ,"  26,000 ",   -00 ,,
Africa,Middle East and North Africa,Mauritania,Asylum-seekers,  497 ,   497 ,   407 ,   407 ,,
Africa,Middle East and North Africa,Mauritania,Returned refugees,   -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Middle East and North Africa,Mauritania,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations",   -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Middle East and North Africa,Mauritania,Returned IDPs,   -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Middle East and North Africa,Mauritania,Persons under UNHCR's statelessness mandate,   -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Middle East and North Africa,Mauritania,Others of concern to UNHCR,  -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Middle East and North Africa,Mauritania,Total population of concern,"  77,891 ","  51,891 ","  68,997 ","  42,997 ",,
Africa,Middle East and North Africa,Morocco,Total Refugee and people in refugee-like situations,"   3,908 ","   3,908 ","   4,329 ","   4,329 ",,
Africa,Middle East and North Africa,Morocco,People in refugee-like situations,  -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Middle East and North Africa,Morocco,Asylum-seekers,"  1,565 ","   1,565 ","   2,069 ","   2,069 ",,
Africa,Middle East and North Africa,Morocco,Returned refugees,  -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Middle East and North Africa,Morocco,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations",  -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Middle East and North Africa,Morocco,Returned IDPs,  -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Middle East and North Africa,Morocco,Persons under UNHCR's statelessness mandate,  -00 ,   -00 ,   -00 ,   -00 ,,
