#{"source_key": "HNO", "source_url": "https://www.humanitarianresponse.info/", "source_date": "2017", "extract_date": "2017-06-01", "update_frequency": "Every year", "additional_metadata": {"Note on data": "Extracted from a variety of 2017 UNOCHA publications including Humanitarian Needs Overviews, Response Plans, Flash Appeals, Needs and Priorites, and Humanitarian Requirements Documents."}}
Metric,Source Type,File Type,Notes,Afghanistan 2017,Burkina Faso 2017,Burundi 2017,Cameroon 2017,Central African Republic 2017,Chad 2017,DPR Korea Needs and Priorities 2017,Democratic Republic of the Congo 2017,DRC Kasai Flash Appeal,Djibouti 2017,Ethiopia 2017,Haiti 2017,Iraq 2017,Kenya Flash Appeal 2017,Libya 2017,Madagascar Flash Appeal 2017,Madagascar Grand Sud 2016-2017,Mali 2017,Mauritania 2017,Mozambique Cyclone Dineo Flash Appeal 2017,Myanmar 2017,Niger 2017,Nigeria 2017,Nigeria northeast 2017,Peru Flash Appeal 2017,Republic of South Sudan 2017,Senegal 2017,Somalia 2017,Sudan 2017,Syria 2017,Syria regional refugee and resilience plan (3RP) 2017,Ukraine Humanitarian Needs Overview 2017,Yemen 2017,occupied Palestinian territory 2017
Requirements (US$) - Essential household items/shelter,FA,pdf,further data disaggregation available (FA),,,,,,,,,"13,880,665",,,,,,,,,,,,,,,,,,,,,,,,,
Requirements (US$) - Food security,FA,pdf,further data disaggregation available (FA),,,,,,,,,"23,336,346",,,,,"39,300,000",,,,,,"3,310,000",,,,,,,,,,,,,,
Requirements (US$) - Food security and livelihood,FA,pdf,further data disaggregation available (FA),,,,,,,,,,,,,,,,"6,100,000",,,,,,,,,,,,,,,,,,
Requirements (US$) - (Agriculture) Food security and nutrition,FA,pdf,further data disaggregation available (FA),,,,,,,,,,,,,,,,,,,,,,,,,"4,900,000",,,,,,,,,
Requirements (US$) - Agriculture and livelihood,FA,pdf,,,,,,,,,,,,,,,"30,000,000",,,,,,,,,,,,,,,,,,,,
Requirements (US$) - Nutrition,FA,pdf,further data disaggregation available (FA),,,,,,,,,"1,060,732",,,,,"43,200,000",,,,,,,,,,,,,,,,,,,,
Requirements (US$) - Health,FA,pdf,further data disaggregation available (FA),,,,,,,,,,,,,,"15,000,000",,"2,800,000",,,,"1,940,000",,,,,"4,400,000",,,,,,,,,
Requirements (US$) - Health (including epidemics),FA,pdf,further data disaggregation available (FA),,,,,,,,,"4,028,083",,,,,,,,,,,,,,,,,,,,,,,,,
Requirements (US$) - WASH,FA,pdf,further data disaggregation available (FA),,,,,,,,,"3,270,445",,,,,"21,100,000",,"2,400,000",,,,,,,,,"9,800,000",,,,,,,,,
Requirements (US$) - Education,FA,pdf,further data disaggregation available (FA),,,,,,,,,"2,731,719",,,,,"5,900,000",,"2,600,000",,,,"2,500,000",,,,,"2,600,000",,,,,,,,,
Requirements (US$) - Protection,FA,pdf,further data disaggregation available (FA),,,,,,,,,,,,,,"3,100,000",,"500,000",,,,"500,000",,,,,"2,100,000",,,,,,,,,
Requirements (US$) - Protection (only case management and case monitoring),FA,pdf,further data disaggregation available (FA),,,,,,,,,"4,536,286",,,,,,,,,,,,,,,,,,,,,,,,,
Requirements (US$) - Coordinaton ,FA,pdf,further data disaggregation available (FA),,,,,,,,,,,,,,,,,,,,"100,000",,,,,"180,000",,,,,,,,,
Requirements (US$) - Coordination and support services,FA,pdf,,,,,,,,,,,,,,,,,"150,000",,,,,,,,,,,,,,,,,,
Requirements (US$) - Early recovery,FA,pdf,further data disaggregation available (FA),,,,,,,,,,,,,,"8,100,000",,"750,000",,,,"500,000",,,,,"5,200,000",,,,,,,,,
Requirements (US$) - Logistics and emergency telecommunications,FA,pdf,further data disaggregation available (FA),,,,,,,,,,,,,,,,"1,300,000",,,,,,,,,,,,,,,,,,
Requirements (US$) - Logistics,FA,pdf,,,,,,,,,,"2,400,000",,,,,,,,,,,,,,,,,,,,,,,,,
Requirements (US$) - Coordination and management of shelters and camps,FA,pdf,further data disaggregation available (FA),,,,,,,,,,,,,,,,,,,,,,,,,"4,300,000",,,,,,,,,
Requirements (US$) - Assistance in areas with reduced access,FA,pdf,further data disaggregation available (FA),,,,,,,,,"9,317,817",,,,,,,,,,,,,,,,,,,,,,,,,
Total population ,HDX,xlsx,further data disaggregation available (HDX),,,,,,,,,,,,,"36,004,552",,,,,,,,,,,,,"12,190,350",,,,"18,619,964",,,,
People in need (total),HDX,xlsx,further data disaggregation available (HDX),,,,,,,,,,,,,"10,511,099",,,,,,,,,"1,927,593",,,,"7,171,770",,,,,,,,
People in need + people in need of refugee response,HDX,xlsx,further data disaggregation available (HDX),,,,,,,,,,,,,,,,,,,,,,,,,,"7,474,579",,,,,,,,
People at risk - Emergency preparedness,HDX,pdf,further data disaggregation available (HRP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
People in need - Emergency shelter and NFIs (Non-Food Items),HDX,xlsx,further data disaggregation available (HDX),,,,,,,,,,,,,,,,,,,,,,,"2,410,582",,,,,,,,,,,
People in need - Emergency shelter and NFIs (Non-Food Items),HDX,csv,further data disaggregation available (HDX),,,,,,,,,,,,,,,,,,,,,,,"2,410,582",,,,,,,,,,,
People in need - Shelter/CCCM,HDX,xlsx,further data disaggregationa available (HDX),,,,,,"920,418",,,,,,,,,,,,,,,,,,,,,,,,,,,,
People in need - Shelter and NFIs,HDX,xlsx,further data disaggregation available (HDX),,,,,,,,,,,,,"3,900,000",,,,,,,,,,,,,"1,617,050",,,,,,,,
People in need - Shelter,HDX,xlsx,further data disaggregation available (HDX),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,272,249",,,"4,467,000",
People in acute need - Shelter,HDX,xlsx,further data disaggregation available (HDX),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,942,000",
People in moderate need - Shelter,HDX,xlsx,further data disaggregation available (HDX),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"528,000",
People in need - NFIs,HDX,xlsx,further data disaggregation available (HDX),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,809,611",,,,
People in need - CCCM,HDX,xlsx,further data disaggregation available (HDX),,,,,,,,,,,,,"2,700,000",,,,,,,,,,"2,410,582",,,"630,618",,,,"6,317,978",,,,
People in need - CCCM,HDX,csv,further data disaggregation available (HDX),,,,,,,,,,,,,,,,,,,,,,,"2,410,582",,,,,,,,,,,
People in need - Food security and agriculture,HDX,xlsx,further data disaggregation available (HDX),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,120,000",
People in acute need - Food security and agriculture,HDX,xlsx,further data disaggregation available (HDX),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,000,000",
People in moderate need - Food security and agriculture,HDX,xlsx,further data disaggregation available (HDX),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,119,000",
People in need - Food security,HDX,xlsx,further data disaggregation available (HDX),,,,,,"2,857,294",,,,,,,"3,200,000",,,,,,,,,,"5,812,819",,,,,,,"9,046,596",,,,
People in need - Food security,HDX,csv,further data disaggregation available (HDX),,,,,,,,,,,,,,,,,,,,,,,"5,812,819",,,,,,,,,,,
People in need - Food security and livelihoods,HDX,xlsx,further data disaggregation available (HDX),,,,,,,,,,,,,,,,,,,,,,,,,,"4,903,268",,,,,,,,
People in need - Health,HDX,xlsx,further data disaggregation available (HDX),,,,,,"1,477,152",,,,,,,"9,700,000",,,,,,,,,,"12,405,530",,,"5,096,685",,,,"12,787,685",,,"14,763,000",
People in need - Health,HDX,csv,further data disaggregation available (HDX),,,,,,,,,,,,,,,,,,,,,,,"12,405,530",,,,,,,,,,,
People in acute need - Health,HDX,xlsx,further data disaggregation available (HDX),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,804,000",
People in moderate need - Health,HDX,xlsx,further data disaggregation available (HDX),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,959,000",
People in need - Nutrition,HDX,xlsx,further data disaggregation available (HDX),,,,,,"1,029,192",,,,,,,,,,,,,,,,,"6,730,664",,,"1,354,437",,,,"4,323,515",,,"4,497,000",
People in need - Nutrition,HDX,csv,further data disaggregation available (HDX),,,,,,,,,,,,,,,,,,,,,,,"6,730,664",,,,,,,,,,,
People in acute need - Nutrition,HDX,xlsx,further data disaggregation available (HDX),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,010,000",
People in moderate need - Nutrition,HDX,xlsx,further data disaggregation available (HDX),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"486,000",
People in need - Protection ,HDX,xlsx,further data disaggregation available (HDX),,,,,,"663,580",,,,,,,"8,700,000",,,,,,,,,,"6,722,389",,,"7,025,210",,,,"13,475,192",,,"11,268,000",
People in need - Protection,HDX,csv,further data disaggregation available (HDX),,,,,,,,,,,,,,,,,,,,,,,"6,722,389",,,,,,,,,,,
People in acute need - Protection,HDX,xlsx,further data disaggregation available (HDX),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,920,000",
People in moderate need - Protection,HDX,xlsx,further data disaggregation available (HDX),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,349,000",
People in need - Child protection/NFIs,HDX,xlsx,further data disaggregation available (HDX),,,,,,,,,,,,,,,,,,,,,,,"3,267,081",,,,,,,,,,,
People in need - Child protection/NFIs,HDX,csv,further data disaggregation available (HDX),,,,,,,,,,,,,,,,,,,,,,,"3,267,081",,,,,,,,,,,
People in need - Gender-based violence and NFIs,HDX,xlsx,further data disaggregation available (HDX),,,,,,,,,,,,,,,,,,,,,,,"2,453,672",,,,,,,,,,,
People in need - Gender-based violence and NFIs,HDX,csv,further data disaggregation available (HDX),,,,,,,,,,,,,,,,,,,,,,,"2,453,672",,,,,,,,,,,
People in need - WASH,HDX,xlsx,further data disaggregation available (HDX),,,,,,"1,595,211",,,,,,,"6,300,000",,,,,,,,,,"3,831,159",,,"4,769,620",,,,"8,226,225",,,"14,497,000",
People in need - WASH,HDX,csv,further data disaggregation available (HDX),,,,,,,,,,,,,,,,,,,,,,,"3,831,159",,,,,,,,,,,
People in acute need - WASH ,HDX,xlsx,further data disaggregation available (HDX),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,182,000",
People in moderate need - WASH,HDX,xlsx,further data disaggregation available (HDX),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,315,000",
People in need - M-S cash assistance,HDX,xlsx,further data disaggregation available (HDX),,,,,,,,,,,,,"2,240,000",,,,,,,,,,,,,,,,,,,,,
People in need - Education,HDX,xlsx,further data disaggregation available (HDX),,,,,,"595,658",,,,,,,"3,700,000",,,,,,,,,,"2,966,802",,,"1,154,691",,,,"6,093,406",,,"2,289,000",
People in need - Education (Prioritisation),HDX,xlsx,further data disaggregation available (HDX),,,,,,,,,,,,,,,,,,,,,,,,,,"1,073,260",,,,,,,,
People in need - Education,HDX,csv,further data disaggregation available (HDX),,,,,,,,,,,,,,,,,,,,,,,"2,966,802",,,,,,,,,,,
People in acute need - Education,HDX,xlsx,further data disaggregation available (HDX),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,111,000",
People in moderate need - Education,HDX,xlsx,further data disaggregation available (HDX),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,178,000",
People in need - Emergency livelihoods,HDX,xlsx,further data disaggregation available (HDX),,,,,,,,,,,,,"5,200,000",,,,,,,,,,,,,,,,,,,,,
People in need - RRM ,HDX,xlsx,further data disaggregation available (HDX),,,,,,,,,,,,,"2,031,250",,,,,,,,,,,,,,,,,,,,,
People in need - Refugee response ,HDX,xlsx,further data disaggregation available (HDX),,,,,,,,,,,,,,,,,,,,,,,,,,"302,809",,"32,232",,,,,,
People in need - Early recovery and livelihoods,HDX,xlsx,further data disaggregation available (HDX),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,022,366",,,,
People in need - Refugees and Migrants (RAM),HDX,xlsx,further data disaggregation available (HDX),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"458,000",
People in acute need - RAM,HDX,xlsx,further data disaggregation available (HDX),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28,000",
People in moderate need - RAM,HDX,xlsx,further data disaggregation available (HDX),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"431,000",
People in need - Intersector,HDX,xlsx,further data disaggregation available (HDX),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,475,192",,,,
People targeted (total),HDX,xlsx,further data disaggregation available (HDX),,,,,,,,,,,,,,,,,,,,,,,,,,"5,493,709",,,,,,,,
People targeted + people in need of refugee response,HDX,xlsx,further data disaggregation available (HDX),,,,,,,,,,,,,,,,,,,,,,,,,,"5,796,518",,,,,,,,
People targeted - Emergency shelter and NFIs,HDX,xlsx,further data disaggregation available (HDX),,,,,,,,,,,,,,,,,,,,,,,"1,040,536",,,,,,,,,,,
People targeted - Emergency shelter and NFIs,HDX,csv,further data disaggregation available (HDX),,,,,,,,,,,,,,,,,,,,,,,"1,040,536",,,,,,,,,,,
People targeted - Shelter and NFIs,HDX,xlsx,further data disaggregation available (HDX),,,,,,,,,,,,,"2,300,000",,,,,,,,,,,,,"1,013,191",,,,,,,,
People targeted - Shelter/CCCM,HDX,xlsx,further data disaggregation available (HDX),,,,,,"343,578",,,,,,,,,,,,,,,,,,,,,,,,,,,,
People targeted - CCCM,HDX,xlsx,further data disaggregation available (HDX),,,,,,,,,,,,,"900,000",,,,,,,,,,"800,000",,,"630,618",,,,,,,,
People targeted - CCCM,HDX,csv,further data disaggregation available (HDX),,,,,,,,,,,,,,,,,,,,,,,"800,000",,,,,,,,,,,
People targeted - CCCM,HDX,csv,further data disaggregation available (HDX),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
People targeted - WASH,HDX,xlsx,further data disaggregation available (HDX),,,,,,"1,097,628",,,,,,,"350,000",,,,,,,,,,"1,977,987",,,"2,870,457",,,,,,,,
People targeted - WASH,HDX,csv,further data disaggregation available (HDX),,,,,,,,,,,,,,,,,,,,,,,"1,977,987",,,,,,,,,,,
People targeted - Education,HDX,xlsx,further data disaggregation available (HDX),,,,,,"356,345",,,,,,,"1,450,000",,,,,,,,,,"1,600,000",,,,,,,,,,,
People targeted - Education,HDX,csv,further data disaggregation available (HDX),,,,,,,,,,,,,,,,,,,,,,,"1,600,000",,,,,,,,,,,
People targeted - Nutrition,HDX,xlsx,further data disaggregation available (HDX),,,,,,"298,437",,,,,,,,,,,,,,,,,"2,653,885",,,"908,670",,,,,,,,
People targeted - Nutrition,HDX,csv,further data disaggregation available (HDX),,,,,,,,,,,,,,,,,,,,,,,"2,653,885",,,,,,,,,,,
People targeted - Protection,HDX,xlsx,further data disaggregation available (HDX),,,,,,"242,106",,,,,,,"3,350,000",,,,,,,,,,"2,433,227",,,"3,079,220",,,,,,,,
People targeted - Protection,HDX,csv,further data disaggregation available (HDX),,,,,,,,,,,,,,,,,,,,,,,"2,433,227",,,,,,,,,,,
People targeted - Child protection and NFIs,HDX,xlsx,further data disaggregation available (HDX),,,,,,,,,,,,,,,,,,,,,,,"871,538",,,,,,,,,,,
People targeted - Child protection and NFIs,HDX,csv,further data disaggregation available (HDX),,,,,,,,,,,,,,,,,,,,,,,"871,538",,,,,,,,,,,
People targeted - Gender-based violence and NFIs,HDX,xlsx,further data disaggregation available (HDX),,,,,,,,,,,,,,,,,,,,,,,"888,128",,,,,,,,,,,
People targeted - Gender-based violence and NFIs,HDX,csv,further data disaggregation available (HDX),,,,,,,,,,,,,,,,,,,,,,,"888,128",,,,,,,,,,,
People targeted - Health,HDX,xlsx,further data disaggregation available (HDX),,,,,,"757,048",,,,,,,"6,200,000",,,,,,,,,,"5,919,913",,,"2,079,045",,,,,,,,
People targeted - Health,HDX,csv,further data disaggregation available (HDX),,,,,,,,,,,,,,,,,,,,,,,"5,919,913",,,,,,,,,,,
People targeted - Food security,HDX,xlsx,further data disaggregation available (HDX),,,,,,"1,179,733",,,,,,,"2,800,000",,,,,,,,,,"5,118,750",,,,,,,,,,,
People targeted - Food security,HDX,csv,further data disaggregation available (HDX),,,,,,,,,,,,,,,,,,,,,,,"5,118,750",,,,,,,,,,,
