#{"source_key": "UNHCR", "source_url": "http://www.unhcr.org/cgi-bin/texis/vtx/home/opendocAttachment.zip?COMID=58aa8f854", "source_date": 2017-02-01, "extract_date": 2017-04-04}
UN major regions,UNHCR-Bureaux,Origin,Type of population,Population Start 2016,of whom assisted by UNHCR Start 2016,Population Mid 2016,of whom assisted by UNHCR Mid 2016,Notes,Misc
Africa,Central Africa and the Great Lakes,Burundi,Total Refugee and people in refugee-like situations," 	292,762 "," 	261,168 "," 	335,232 "," 	303,745 ",
Africa,Central Africa and the Great Lakes,Rwanda,Returned refugees, 	-00 , 	-00 ," 	2,943 "," 	2,943 ",
Africa,Central Africa and the Great Lakes,Rwanda,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations", 	-00 , 	-00 , 	-00 , 	-00 ,
Africa,Central Africa and the Great Lakes,Rwanda,Returned IDPs, 	-00 , 	-00 , 	-00 , 	-00 ,
Africa,Central Africa and the Great Lakes,Rwanda,Persons under UNHCR's statelessness mandate, 	-00 , 	-00 , 	-00 , 	-00 ,
Africa,Central Africa and the Great Lakes,Rwanda,Others of concern to UNHCR," 	5,801 "," 	1,534 "," 	5,865 "," 	1,231 ",
Africa,Central Africa and the Great Lakes,Rwanda,Total population of concern," 	303,031 "," 	178,294 "," 	307,315 "," 	181,554 ",
Africa,Central Africa and the Great Lakes,Sao Tome and Principe,Total Refugee and people in refugee-like situations, 	22 , 	19 , 	19 , 	19 ,
Africa,Central Africa and the Great Lakes,Sao Tome and Principe,People in refugee-like situations, 	-00 , 	-00 , 	-00 , 	-00 ,
Africa,Central Africa and the Great Lakes,Sao Tome and Principe,Asylum-seekers, 	12 , 	6 , 	11 , 	-00 ,
Africa,Central Africa and the Great Lakes,Sao Tome and Principe,Returned refugees, 	-00 , 	-00 , 	-00 , 	-00 ,
Africa,Central Africa and the Great Lakes,Sao Tome and Principe,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations", 	-00 , 	-00 , 	-00 , 	-00 ,
Africa,Central Africa and the Great Lakes,Sao Tome and Principe,Returned IDPs, 	-00 , 	-00 , 	-00 , 	-00 ,
Africa,Central Africa and the Great Lakes,Sao Tome and Principe,Persons under UNHCR's statelessness mandate, 	-00 , 	-00 , 	-00 , 	-00 ,
Africa,Central Africa and the Great Lakes,Sao Tome and Principe,Others of concern to UNHCR, 	-00 , 	-00 , 	-00 , 	-00 ,
Africa,Central Africa and the Great Lakes,Sao Tome and Principe,Total population of concern, 	34 , 	25 , 	30 , 	19 ,
Africa,Central Africa and the Great Lakes,United Rep. of Tanzania,Total Refugee and people in refugee-like situations, 	807 , 	105 , 	806 , 	102 ,
Africa,Central Africa and the Great Lakes,United Rep. of Tanzania,People in refugee-like situations, 	-00 , 	-00 , 	-00 , 	-00 ,
Africa,Central Africa and the Great Lakes,United Rep. of Tanzania,Asylum-seekers," 	1,593 ", 	176 ," 	1,415 ", 	104 ,
Africa,Central Africa and the Great Lakes,United Rep. of Tanzania,Returned refugees, 	-00 , 	-00 , 	6 , 	6 ,
Africa,Central Africa and the Great Lakes,United Rep. of Tanzania,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations", 	-00 , 	-00 , 	-00 , 	-00 ,
Africa,Central Africa and the Great Lakes,United Rep. of Tanzania,Returned IDPs, 	-00 , 	-00 , 	-00 , 	-00 ,
Africa,Central Africa and the Great Lakes,United Rep. of Tanzania,Persons under UNHCR's statelessness mandate, 	-00 , 	-00 , 	-00 , 	-00 ,
Africa,Central Africa and the Great Lakes,United Rep. of Tanzania,Others of concern to UNHCR, 	15 , 	15 , 	15 , 	15 ,
Africa,Central Africa and the Great Lakes,United Rep. of Tanzania,Total population of concern," 	2,415 ", 	296 ," 	2,242 ", 	227 ,
Africa,East and Horn of Africa,Chad,Total Refugee and people in refugee-like situations," 	14,939 "," 	12,127 "," 	14,334 "," 	11,429 ",
Africa,East and Horn of Africa,Chad,People in refugee-like situations, 	-00 , 	-00 , 	-00 , 	-00 ,
Africa,East and Horn of Africa,Chad,Asylum-seekers," 	3,278 "," 	1,504 "," 	3,085 "," 	1,218 ",
Africa,East and Horn of Africa,Chad,Returned refugees, 	-00 , 	-00 , 	1 , 	1 ,
Africa,East and Horn of Africa,Chad,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations"," 	51,999 "," 	51,999 "," 	74,000 "," 	74,000 ",
Africa,East and Horn of Africa,Chad,Returned IDPs, 	-00 , 	-00 , 	-00 , 	-00 ,
Africa,East and Horn of Africa,Chad,Persons under UNHCR's statelessness mandate, 	-00 , 	-00 , 	-00 , 	-00 ,
Africa,East and Horn of Africa,Chad,Others of concern to UNHCR," 	30,003 "," 	30,003 "," 	30,003 "," 	30,003 ",
Africa,East and Horn of Africa,Chad,Total population of concern," 	100,219 "," 	95,633 "," 	121,423 "," 	116,651 ",
Africa,East and Horn of Africa,Djibouti,Total Refugee and people in refugee-like situations," 	1,049 ", 	84 ," 	1,113 ", 	86 ,
Africa,East and Horn of Africa,Djibouti,People in refugee-like situations, 	-00 , 	-00 , 	-00 , 	-00 ,
Africa,East and Horn of Africa,Djibouti,Asylum-seekers, 	551 , 	39 , 	616 , 	38 ,
Africa,East and Horn of Africa,Djibouti,Returned refugees, 	-00 , 	-00 , 	-00 , 	-00 ,
Africa,East and Horn of Africa,Djibouti,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations", 	-00 , 	-00 , 	-00 , 	-00 ,
Africa,East and Horn of Africa,Djibouti,Returned IDPs, 	-00 , 	-00 , 	-00 , 	-00 ,
Africa,East and Horn of Africa,Djibouti,Persons under UNHCR's statelessness mandate, 	-00 , 	-00 , 	-00 , 	-00 ,
Africa,East and Horn of Africa,Djibouti,Others of concern to UNHCR, 	-00 , 	-00 , 	2 , 	2 ,
Africa,East and Horn of Africa,Djibouti,Total population of concern," 	1,600 ", 	123 ," 	1,731 ", 	126 ,
Africa,East and Horn of Africa,Eritrea,Total Refugee and people in refugee-like situations," 	407,506 "," 	263,139 "," 	435,635 "," 	270,298 ",
Africa,East and Horn of Africa,Eritrea,People in refugee-like situations," 	27,675 ", 	-00 ," 	27,679 ", 	-00 ,
Africa,East and Horn of Africa,Eritrea,Asylum-seekers," 	62,474 "," 	16,919 "," 	58,258 "," 	20,250 ",
Africa,East and Horn of Africa,Eritrea,Returned refugees, 	-00 , 	-00 , 	-00 , 	-00 ,
Africa,East and Horn of Africa,Eritrea,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations", 	-00 , 	-00 , 	-00 , 	-00 ,
Africa,East and Horn of Africa,Eritrea,Returned IDPs, 	-00 , 	-00 , 	-00 , 	-00 ,
Africa,East and Horn of Africa,Eritrea,Persons under UNHCR's statelessness mandate, 	-00 , 	-00 , 	-00 , 	-00 ,
Africa,East and Horn of Africa,Eritrea,Others of concern to UNHCR, 	235 , 	229 , 	236 , 	229 ,
Africa,East and Horn of Africa,Eritrea,Total population of concern," 	470,215 "," 	280,287 "," 	494,129 "," 	290,777 ",
Africa,East and Horn of Africa,Ethiopia,Total Refugee and people in refugee-like situations," 	85,835 "," 	42,766 "," 	87,020 "," 	43,297 ",
Africa,East and Horn of Africa,Ethiopia,People in refugee-like situations, 	-00 , 	-00 , 	-00 , 	-00 ,
Africa,East and Horn of Africa,Ethiopia,Asylum-seekers," 	76,717 "," 	47,528 "," 	79,801 "," 	49,573 ",
Africa,East and Horn of Africa,Ethiopia,Returned refugees, 	-00 , 	-00 , 	2 , 	-00 ,
Africa,East and Horn of Africa,Ethiopia,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations", 	-00 , 	-00 , 	-00 , 	-00 ,
Africa,East and Horn of Africa,Ethiopia,Returned IDPs, 	-00 , 	-00 , 	-00 , 	-00 ,
Africa,East and Horn of Africa,Ethiopia,Persons under UNHCR's statelessness mandate, 	-00 , 	-00 , 	-00 , 	-00 ,
Africa,East and Horn of Africa,Ethiopia,Others of concern to UNHCR, 	224 , 	210 , 	602 , 	590 ,
Africa,East and Horn of Africa,Ethiopia,Total population of concern," 	162,776 "," 	90,504 "," 	167,425 "," 	93,460 ",
Africa,East and Horn of Africa,Kenya,Total Refugee and people in refugee-like situations," 	7,899 "," 	3,532 "," 	7,973 "," 	3,573 ",
Africa,East and Horn of Africa,Kenya,People in refugee-like situations, 	1 , 	1 , 	1 , 	1 ,
Africa,East and Horn of Africa,Kenya,Asylum-seekers," 	3,287 ", 	716 ," 	3,762 ", 	697 ,
Africa,East and Horn of Africa,Kenya,Returned refugees, 	-00 , 	-00 , 	-00 , 	-00 ,
Africa,East and Horn of Africa,Kenya,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations", 	-00 , 	-00 , 	-00 , 	-00 ,
Africa,East and Horn of Africa,Kenya,Returned IDPs, 	-00 , 	-00 , 	-00 , 	-00 ,
Africa,East and Horn of Africa,Kenya,Persons under UNHCR's statelessness mandate, 	-00 , 	-00 , 	-00 , 	-00 ,
Africa,East and Horn of Africa,Kenya,Others of concern to UNHCR, 	15 , 	14 , 	15 , 	14 ,
Africa,East and Horn of Africa,Kenya,Total population of concern," 	11,201 "," 	4,262 "," 	11,750 "," 	4,284 ",
Africa,East and Horn of Africa,Somalia,Total Refugee and people in refugee-like situations," 	1,123,086 "," 	839,696 "," 	1,097,757 "," 	812,427 ",
Africa,East and Horn of Africa,Somalia,People in refugee-like situations, 	30 , 	-00 , 	174 , 	-00 ,
Africa,East and Horn of Africa,Somalia,Asylum-seekers," 	56,725 "," 	21,523 "," 	61,988 "," 	22,475 ",
Africa,East and Horn of Africa,Somalia,Returned refugees, 	-00 , 	-00 ," 	13,859 "," 	13,857 ",
Africa,East and Horn of Africa,Somalia,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations"," 	1,133,000 "," 	1,133,000 "," 	1,133,000 "," 	88,100 ",
Africa,East and Horn of Africa,Somalia,Returned IDPs, 	-00 , 	-00 , 	-00 , 	-00 ,
Africa,East and Horn of Africa,Somalia,Persons under UNHCR's statelessness mandate, 	-00 , 	-00 , 	-00 , 	-00 ,
Africa,East and Horn of Africa,Somalia,Others of concern to UNHCR, 	829 , 	756 , 	337 , 	244 ,
Africa,East and Horn of Africa,Somalia,Total population of concern," 	2,313,640 "," 	1,994,975 "," 	2,306,941 "," 	937,103 ",
Africa,East and Horn of Africa,South Sudan,Total Refugee and people in refugee-like situations," 	778,720 "," 	778,448 "," 	854,172 "," 	853,888 ",g
Africa,East and Horn of Africa,South Sudan,People in refugee-like situations, 	68 , 	-00 , 	68 , 	-00 ,
Africa,East and Horn of Africa,South Sudan,Asylum-seekers," 	3,991 "," 	3,835 "," 	4,408 "," 	4,215 ",
Africa,East and Horn of Africa,South Sudan,Returned refugees, 	-00 , 	-00 , 	18 , 	1 ,
Africa,East and Horn of Africa,South Sudan,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations"," 	1,790,427 "," 	356,165 "," 	905,000 "," 	266,248 ",h
Africa,East and Horn of Africa,South Sudan,Returned IDPs, 	-00 , 	-00 ," 	1,061,226 "," 	190,150 ",
Africa,East and Horn of Africa,South Sudan,Persons under UNHCR's statelessness mandate, 	-00 , 	-00 , 	-00 , 	-00 ,
Africa,East and Horn of Africa,South Sudan,Others of concern to UNHCR, 	30 , 	30 , 	-00 , 	-00 ,
Africa,East and Horn of Africa,South Sudan,Total population of concern," 	2,573,168 "," 	1,138,478 "," 	2,824,824 "," 	1,314,502 ",
Africa,East and Horn of Africa,Sudan,Total Refugee and people in refugee-like situations," 	627,073 "," 	602,523 "," 	638,986 "," 	611,920 ",j
Africa,East and Horn of Africa,Sudan,People in refugee-like situations," 	4,604 ", 	-00 ," 	4,604 ", 	-00 ,
Africa,East and Horn of Africa,Sudan,Asylum-seekers," 	42,836 "," 	31,377 "," 	45,678 "," 	33,310 ",
Africa,East and Horn of Africa,Sudan,Returned refugees, 	-00 , 	-00 ," 	32,526 ", 	8 ,
Africa,East and Horn of Africa,Sudan,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations"," 	3,218,234 "," 	533,117 "," 	3,218,234 "," 	533,117 ",
Africa,East and Horn of Africa,Sudan,Returned IDPs, 	-00 , 	-00 , 	-00 , 	-00 ,
Africa,East and Horn of Africa,Sudan,Persons under UNHCR's statelessness mandate, 	-00 , 	-00 , 	-00 , 	-00 ,
Africa,East and Horn of Africa,Sudan,Others of concern to UNHCR, 	19 , 	19 , 	12 , 	12 ,
Africa,East and Horn of Africa,Sudan,Total population of concern," 	3,888,162 "," 	1,167,036 "," 	3,935,436 "," 	1,178,367 ",
Africa,East and Horn of Africa,Uganda,Total Refugee and people in refugee-like situations," 	6,311 ", 	978 ," 	6,499 ", 	982 ,
Africa,East and Horn of Africa,Uganda,People in refugee-like situations, 	-00 , 	-00 , 	-00 , 	-00 ,
Africa,East and Horn of Africa,Uganda,Asylum-seekers," 	6,415 "," 	2,153 "," 	6,455 "," 	1,906 ",
Africa,East and Horn of Africa,Uganda,Returned refugees, 	-00 , 	-00 , 	-00 , 	-00 ,
Africa,East and Horn of Africa,Uganda,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations", 	-00 , 	-00 , 	-00 , 	-00 ,
Africa,East and Horn of Africa,Uganda,Returned IDPs, 	-00 , 	-00 , 	-00 , 	-00 ,
Africa,East and Horn of Africa,Uganda,Persons under UNHCR's statelessness mandate, 	-00 , 	-00 , 	-00 , 	-00 ,
Africa,East and Horn of Africa,Uganda,Others of concern to UNHCR," 	180,003 "," 	180,003 "," 	180,002 "," 	180,002 ",
Africa,East and Horn of Africa,Uganda,Total population of concern," 	192,729 "," 	183,134 "," 	192,956 "," 	182,890 ",
Africa,Middle East and North Africa,Algeria,Total Refugee and people in refugee-like situations," 	3,485 ", 	75 ," 	3,622 ", 	76 ,
Africa,Middle East and North Africa,Algeria,People in refugee-like situations, 	-00 , 	-00 , 	-00 , 	-00 ,
Africa,Middle East and North Africa,Algeria,Asylum-seekers," 	7,640 ", 	157 ," 	7,209 ", 	182 ,
Africa,Middle East and North Africa,Algeria,Returned refugees, 	-00 , 	-00 , 	-00 , 	-00 ,
Africa,Middle East and North Africa,Algeria,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations", 	-00 , 	-00 , 	-00 , 	-00 ,
Africa,Middle East and North Africa,Algeria,Returned IDPs, 	-00 , 	-00 , 	-00 , 	-00 ,
Africa,Middle East and North Africa,Algeria,Persons under UNHCR's statelessness mandate, 	-00 , 	-00 , 	-00 , 	-00 ,
Africa,Middle East and North Africa,Algeria,Others of concern to UNHCR, 	12 , 	12 , 	9 , 	9 ,
Africa,Middle East and North Africa,Algeria,Total population of concern," 	11,137 ", 	244 ," 	10,840 ", 	267 ,
Africa,Middle East and North Africa,Egypt,Total Refugee and people in refugee-like situations," 	17,918 ", 	292 ," 	18,672 ", 	298 ,
Africa,Middle East and North Africa,Egypt,People in refugee-like situations, 	-00 , 	-00 , 	-00 , 	-00 ,
Africa,Middle East and North Africa,Egypt,Asylum-seekers," 	12,154 ", 	972 ," 	12,863 ", 	927 ,
Africa,Middle East and North Africa,Egypt,Returned refugees, 	-00 , 	-00 , 	-00 , 	-00 ,
Africa,Middle East and North Africa,Egypt,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations", 	-00 , 	-00 , 	-00 , 	-00 ,
Africa,Middle East and North Africa,Egypt,Returned IDPs, 	-00 , 	-00 , 	-00 , 	-00 ,
Africa,Middle East and North Africa,Egypt,Persons under UNHCR's statelessness mandate, 	-00 , 	-00 , 	-00 , 	-00 ,
Africa,Middle East and North Africa,Egypt,Others of concern to UNHCR, 	78 , 	78 , 	48 , 	48 ,
Africa,Middle East and North Africa,Egypt,Total population of concern," 	30,150 "," 	1,342 "," 	31,583 "," 	1,273 ",
Africa,Middle East and North Africa,Libya,Total Refugee and people in refugee-like situations," 	6,089 ", 	248 ," 	6,999 ", 	180 ,
Africa,Middle East and North Africa,Libya,People in refugee-like situations, 	-00 , 	-00 , 	-00 , 	-00 ,
Africa,Middle East and North Africa,Libya,Asylum-seekers," 	6,068 ", 	336 ," 	6,475 ", 	357 ,
Africa,Middle East and North Africa,Libya,Returned refugees, 	-00 , 	-00 , 	-00 , 	-00 ,
Africa,Middle East and North Africa,Libya,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations"," 	434,869 "," 	434,869 "," 	285,709 "," 	285,709 ",
Africa,Middle East and North Africa,Libya,Returned IDPs, 	-00 , 	-00 ," 	149,160 "," 	3,850 ",
Africa,Middle East and North Africa,Libya,Persons under UNHCR's statelessness mandate, 	-00 , 	-00 , 	-00 , 	-00 ,
Africa,Middle East and North Africa,Libya,Others of concern to UNHCR, 	8 , 	6 , 	8 , 	5 ,
Africa,Middle East and North Africa,Libya,Total population of concern," 	447,034 "," 	435,459 "," 	448,351 "," 	290,101 ",
Africa,Middle East and North Africa,Mauritania,Total Refugee and people in refugee-like situations," 	34,641 "," 	27,252 "," 	36,492 "," 	29,040 ",
Africa,Middle East and North Africa,Mauritania,People in refugee-like situations, 	-00 , 	-00 , 	-00 , 	-00 ,
Africa,Middle East and North Africa,Mauritania,Asylum-seekers," 	7,486 ", 	155 ," 	7,551 ", 	157 ,
Africa,Middle East and North Africa,Mauritania,Returned refugees, 	-00 , 	-00 , 	-00 , 	-00 ,
Africa,Middle East and North Africa,Mauritania,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations", 	-00 , 	-00 , 	-00 , 	-00 ,
Africa,Middle East and North Africa,Mauritania,Returned IDPs, 	-00 , 	-00 , 	-00 , 	-00 ,
Africa,Middle East and North Africa,Mauritania,Persons under UNHCR's statelessness mandate, 	-00 , 	-00 , 	-00 , 	-00 ,
Africa,Middle East and North Africa,Mauritania,Others of concern to UNHCR, 	4 , 	4 , 	4 , 	4 ,
Africa,Middle East and North Africa,Mauritania,Total population of concern," 	42,131 "," 	27,411 "," 	44,047 "," 	29,201 ",
Africa,Middle East and North Africa,Morocco,Total Refugee and people in refugee-like situations," 	1,776 ", 	54 ," 	2,033 ", 	61 ,
Africa,Middle East and North Africa,Morocco,People in refugee-like situations, 	-00 , 	-00 , 	-00 , 	-00 ,
Africa,Middle East and North Africa,Morocco,Asylum-seekers," 	5,659 ", 	182 ," 	6,521 ", 	141 ,
Africa,Middle East and North Africa,Morocco,Returned refugees, 	-00 , 	-00 , 	-00 , 	-00 ,
Africa,Middle East and North Africa,Morocco,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations", 	-00 , 	-00 , 	-00 , 	-00 ,
