Country,Refugees,People in refugee-like situations,Total refugees and people in refugee-like situations,Of whom assisted by UNHCR,Asylum-seekers (pending cases),Returned refugees,"IDPs protected/ assisted by UNHCR, incl. people in IDP-like situations",Returned IDPs,Persons under UNHCR's statelessness mandate,Others of concern to UNHCR,Total population of concern
Panama,2350,15000,17350,309,4471,0,0,0,2,0,21823
Papua New Guinea,4955,4581,9536,0,23,0,0,0,0,0,9559
Paraguay,204,0,204,45,33,0,0,0,0,0,237
Peru,1649,0,1649,170,4392,0,0,0,0,0,6041
Philippines,408,0,408,117,214,0,87418,255626,4636,68,348370
Poland,11747,0,11747,0,3431,0,0,0,10825,0,26003
Portugal,1194,0,1194,0,858,0,0,0,14,0,2066
Qatar,177,0,177,177,142,0,0,0,1200,0,1519
Rep. of Korea,1807,0,1807,110,6861,0,0,0,197,0,8865
Rep. of Moldova,432,0,432,432,85,0,0,0,4776,0,5293
Romania,2905,0,2905,308,74,0,0,0,249,0,3228
Russian Federation,228990,0,228990,6758,3039,56,0,0,90771,0,322856
Rwanda,156065,0,156065,156065,464,6105,0,0,0,1446,164080
Saint Kitts and Nevis,0,0,0,0,0,0,0,0,0,0,0
Saint Lucia,2,0,2,2,1,0,0,0,0,0,3
Saint Vincent and the Grenadines,0,0,0,0,0,0,0,0,0,0,0
Samoa,3,0,3,3,0,0,0,0,0,0,3
Sao Tome and Principe,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia,133,7,140,140,50,0,0,0,70000,0,70190
Senegal,14584,0,14584,14584,3219,0,0,0,0,0,17803
Serbia and Kosovo: S/RES/1244 (1999),29522,7000,36522,12489,130,166,219633,477,2373,0,259301
Seychelles,2,0,2,2,0,0,0,0,0,0,2
Sierra Leone,683,0,683,449,7,3,0,0,0,0,693
Singapore,0,0,0,0,0,0,0,0,0,1,1
Sint Maarten (Dutch part),3,0,3,3,7,0,0,0,0,0,10
Slovakia,990,0,990,0,38,0,0,0,1523,45,2596
Slovenia,462,0,462,0,319,0,0,0,4,0,785
Solomon Islands,0,0,0,0,0,0,0,0,0,0,0
Somalia,11574,0,11574,11574,12794,36133,1562554,0,0,130,1623185
South Africa,91043,0,91043,0,218299,0,0,0,0,0,309342
South Sudan,262560,0,262560,262560,1792,1,1853924,752261,0,0,2870538
Spain,12989,0,12989,0,20360,0,0,0,1011,0,34360
Sri Lanka,604,0,604,604,576,1054,39730,12445,0,0,54409
State of Palestine,0,0,0,0,0,0,0,0,0,0,0
Sudan,421466,0,421466,380409,16052,37215,2225557,0,0,3758,2704048
Suriname,1,0,1,1,46,0,0,0,0,1,48
Swaziland,728,0,728,197,385,7,0,0,0,3,1123
Sweden,230164,0,230164,0,83103,0,0,0,36036,0,349303
Switzerland,82681,0,82681,0,30800,0,0,0,66,0,113547
Syrian Arab Rep.,19809,0,19809,19809,12494,1,6325978,600000,160000,13628,7131910
Tajikistan,2729,0,2729,1716,431,0,0,0,17002,0,20162
Thailand,54251,52196,106447,106447,5010,0,0,0,487741,261,599459
The former Yugoslav Republic of Macedonia,477,160,637,637,21,0,0,0,600,0,1258
Timor-Leste,0,0,0,0,0,0,0,0,0,2,2
Togo,12491,0,12491,6877,783,5,0,0,0,0,13279
Tonga,0,0,0,0,0,0,0,0,0,0,0
Trinidad and Tobago,109,0,109,109,209,0,0,0,0,8,326
Tunisia,649,0,649,649,33,0,0,0,0,3,685
Turkey,2869421,0,2869421,2869421,245955,0,0,0,780,0,3116156
Turkmenistan,27,0,27,27,0,0,0,0,5744,0,5771
Turks and Caicos Islands,4,0,4,4,0,0,0,0,0,0,4
Uganda,940835,0,940835,940835,41880,0,0,0,0,180000,1162715
Ukraine,3302,0,3302,523,6573,8,1800000,0,35363,0,1845246
United Arab Emirates,895,0,895,895,612,0,0,0,0,0,1507
United Kingdom,118995,0,118995,0,46784,0,0,0,64,0,165843
United Rep. of Tanzania,281498,0,281498,281498,8539,6,0,0,0,168785,458828
United States of America,272959,0,272959,0,542649,0,0,0,0,0,815608
Uruguay,312,0,312,92,371,0,0,0,0,0,683
Uzbekistan,27,0,27,27,0,3,0,0,86524,0,86554
Vanuatu,0,0,0,0,0,0,0,0,0,0,0
Venezuela (Bolivarian Republic of),7861,164192,172053,6282,904,0,0,0,0,0,172957
Viet Nam,0,0,0,0,0,0,0,0,11000,0,11000
Western Sahara,0,0,0,0,0,6,0,0,0,0,6
Yemen,269783,0,269783,120051,9097,1,2025060,974058,0,12,3278011
Zambia,29350,0,29350,23750,3319,0,0,0,0,24540,57209
Zimbabwe,7426,0,7426,7426,952,6,0,0,0,1680,10064
